開放粵語詞典（粵語拼音字數字調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［粵語拼音］	［國語解釋］
活字印刷	wud6 ji6 yant3 cad3	
活捉	wud6 jok1	
活期	wud6 key4	
活期儲蓄	wud6 key4 ceu5 cok1	
活期存款	wud6 key4 ceun4 fun2	
活力	wud6 lek6	
活力充沛	wud6 lek6 conk1 pui3	
活路	wud6 low6	
活埋	wud6 mai4	
活命	wud6 meng6	
活剝生吞	wud6 mog1 sank1 tant1	
活潑	wud6 pud3	
活塞	wud6 sak1	
活栓	wud6 san1	
活生生	wud6 sank1 sank1	
活受罪	wud6 saw6 joy6	
活性	wud6 senk3	
活水	wud6 soy2	
活活潑潑	wud6 wud6 pud3 pud3	
活躍	wud6 yeog6	
煨	wui1	烘烤
煨番薯	wui1 fan1 seu4	烤番薯
蛔蟲	wui4 conk4	
回答	wui4 dab3	
回覆	wui4 fok1	
回教徒	wui4 gau3 tow4	
回歸	wui4 guay1	
回歸線	wui4 guay1 sin3	
回南	wui4 nam4	轉暖，回暖，吹南風，轉颳南風
回南天	wui4 nam4 tin1	回暖天氣
回收	wui4 saw1	
回首	wui4 saw2	
回聲	wui4 senk1	
回水	wui4 soy2	退錢
回憶	wui4 yek1	
回應	wui4 yenk3	
會唔會	wui5 m4 wui5	會不會
會彈唔會唱	wui5 tan4 m4 wui5 ceong3	只會說不會做
會會哋	wui5 wui2 dey2	會一點兒
會錯意	wui6 co3 yi3	誤解，誤會
匯款	wui6 fun2	
匯合	wui6 hab6	
會話	wui6 wa2	
會陰	wui6 yamp1	
會議	wui6 yi5	
碗	wun2	飯碗
腕錶	wun2 biu1	手錶
腕部	wun2 bow6	
豌豆	wun2 daw6	
碗篤	wun2 dok1	碗底
碗筷	wun2 fai3	
腕骨	wun2 guat1	
碗櫃	wun2 guay6	
腕足	wun2 jok1	
腕足動物	wun2 jok1 donk6 mat6	
腕力	wun2 lek6	
惋惜	wun2 sek1	
莞爾	wun2 yi5	
莞爾一笑	wun2 yi5 yat1 siu3	
援交	wun4 gau1	
援軍	wun4 guant1	
援助	wun4 jo6	
援助交際	wun4 jo6 gau1 jay3	
緩慢	wun4 man6	
援手	wun4 saw2	
浣熊	wun5 honk4	
緩兵	wun6 benk1	
緩兵之計	wun6 benk1 ji1 gay3	
緩步	wun6 bow6	
緩步而行	wun6 bow6 yi4 hang4	
換錢	wun6 cin2	
緩衝	wun6 conk1	
緩衝地帶	wun6 conk1 dey6 dai3	
緩衝地區	wun6 conk1 dey6 koy1	
緩衝國	wun6 conk1 guog3	
緩衝器	wun6 conk1 hey3	
緩衝劑	wun6 conk1 jay1	
緩衝作用	wun6 conk1 jog3 yonk6	
緩衝期	wun6 conk1 key4	
緩衝區	wun6 conk1 koy1	
玩忽	wun6 fat1	
玩忽職守	wun6 fat1 jek1 saw2	
緩解	wun6 gai2	
緩急	wun6 gap1	
玩具	wun6 goy6	
玩具槍	wun6 goy6 ceong1	
玩具店	wun6 goy6 dim3	
緩氣	wun6 hey3	
緩期	wun6 key4	
玩樂	wun6 log6	
玩弄	wun6 lonk6	
玩物	wun6 mat6	
玩物喪志	wun6 mat6 song3 ji3	
玩味	wun6 mey6	
玩偶	wun6 ngaw5	
玩票	wun6 piu3	
換衫	wun6 sam1	換衣服
玩世	wun6 say3	
玩世不恭	wun6 say3 bat1 gonk1	
喚醒	wun6 seng2	
玩賞	wun6 seong2	
換屎片	wun6 si2 pin2	換尿布
緩和	wun6 wo4	
緩緩	wun6 wun6	
緩役	wun6 yek6	
緩刑	wun6 yenk4	
玩月	wun6 yeud6	
緩延	wun6 yin4	
煥然一新	wun6 yin4 yat1 sant1	
也許	ya5 hoy2	
廿	ya6	二十
廿八歲	ya6 bad3 soy3	二十八歲
廿四	ya6 sey3	二十四
喫	yag3	吃
喫飯	yag3 fan6	吃飯
跴	yai2	踩，騎（自行車等）
跴單車	yai2 dan1 ce1	騎自行車，騎腳踏車
陰	yamp1	暗害，算計
紝	yamp1	劉海
陰	yamp1	陰險
陰	yamp1	害，暗害，陰險
陰暗	yamp1 amp3	
陰暗面	yamp1 amp3 min6	
陰差陽錯	yamp1 ca1 yeong4 co3	
欽差	yamp1 cai1	
陰沉	yamp1 camp4	
陰沉沉	yamp1 camp4 camp4	
陰晴	yamp1 cenk4	
陰晴不定	yamp1 cenk4 bat1 denk6	
欽賜	yamp1 ci3	
陰蒂	yamp1 day3	
陰電	yamp1 din6	
陰電子	yamp1 din6 ji2	
陰毒	yamp1 dok6	惡毒，狠毒，陰險毒辣
陰道	yamp1 dow6	
陰府	yamp1 fu2	
陰間	yamp1 gan1	
陰極	yamp1 gek6	
陰功	yamp1 gonk1	殘忍，可憐，造孽
陰功鬼	yamp1 gonk1 guay2	缺德鬼
陰莖	yamp1 hank1	
陰狠	yamp1 hant2	
陰狠毒辣	yamp1 hant2 dok6 lad6	
陰核	yamp1 hat6	
音響	yamp1 heong2	
陰氣	yamp1 hey3	
陰險	yamp1 him2	
陰險毒辣	yamp1 him2 dok6 lad6	
陰騭	yamp1 jat1	缺德，造孽，虧心，陰毒
陰騭事	yamp1 jat1 si6	虧心事，缺德事
陰溝	yamp1 kaw1	
陰溝裡翻船	yamp1 kaw1 loy5 fan1 seun4	
陰冷	yamp1 lang5	
陰曆	yamp1 lek6	
陰涼	yamp1 leong4	
陰離子	yamp1 ley4 ji2	
陰霾	yamp1 mai4	
陰謀	yamp1 maw4	
陰謀份子	yamp1 maw4 fant6 ji2	
陰謀家	yamp1 maw4 ga1	
陰毛	yamp1 mow4	
音樂	yamp1 ngog6	
音樂家	yamp1 ngog6 ga1	
音樂團體	yamp1 ngog6 teun4 tay2	
音樂會	yamp1 ngog6 wui2	
陰囊	yamp1 nong4	
陰平	yamp1 penk4	
欽佩	yamp1 pui3	
陰森	yamp1 samp1	
陰森森	yamp1 samp1 samp1	
陰山	yamp1 san1	
陰濕	yamp1 sap1	陰險，狡猾
陰濕	yamp1 sap1	
陰壽	yamp1 saw6	
陰聲細氣	yamp1 seng1 say3 hey3	小聲小氣，低聲細語，輕聲細氣，輕言細語
陰性	yamp1 senk3	
陰性反應	yamp1 senk3 fan2 yenk3	
陰盛陽衰	yamp1 senk6 yeong4 soy1	
陰司紙	yamp1 si1 ji2	紙錢，冥鈔
陰脣	yamp1 sont4	
陰天	yamp1 tin1	
陰雲	yamp1 want4	
陰魂	yamp1 want4	
音韻	yamp1 want6	
陰陰暗暗	yamp1 yamp1 amp3 amp3	
陰陰沉沉	yamp1 yamp1 camp4 camp4	
陰人	yamp1 yant4	算計別人，暗害別人
陰柔	yamp1 yaw4	
陰影	yamp1 yenk2	
陰陽	yamp1 yeong4	
陰陽家	yamp1 yeong4 ga1	
陰陽怪氣	yamp1 yeong4 guai3 hey3	
陰陽眼	yamp1 yeong4 ngan5	
陰陽人	yamp1 yeong4 yant4	
陰雨	yamp1 yeu5	
陰雨天	yamp1 yeu5 tin1	
陰月	yamp1 yeud6	
飲	yamp2	喝
飲品	yamp2 bant2	
飲杯	yamp2 bui1	碰杯，喝一杯
飲茶	yamp2 ca4	下館子
飲茶	yamp2 ca4	喝茶
飲茶錢	yamp2 ca4 cin2	酒飯錢
飲大咗	yamp2 dai6 jo2	酒喝多了，喝醉了
飲大咗兩杯	yamp2 dai6 jo2 leong5 bui1	喝醉
飲啖茶	yamp2 dam6 ca4	喝口茶
飲啖水	yamp2 dam6 soy2	喝口水
飲彈	yamp2 dan6	
飲彈自盡	yamp2 dan6 ji6 jont6	
飲翻杯喇	yamp2 fan1 bui1 la1	喝一杯吧
飲管	yamp2 gun2	吸管
飲恨	yamp2 hant6	
飲恨而終	yamp2 hant6 yi4 jonk1	
飲鴆止渴	yamp2 jamp6 ji2 hod3	
飲酒	yamp2 jaw2	喝酒
飲醉	yamp2 joy3	喝醉
飲醉酒	yamp2 joy3 jaw2	喝醉了
飲醉咗	yamp2 joy3 jo2	喝醉了
飲料	yamp2 liu6	
飲料店	yamp2 liu6 dim3	
飲食	yamp2 sek6	
飲食店	yamp2 sek6 dim3	
飲食男女	yamp2 sek6 nam4 noy5	
飲食失調	yamp2 sek6 sat1 tiu4	
飲食業	yamp2 sek6 yib6	
飲勝	yamp2 senk3	乾杯
飲勝佢	yamp2 senk3 koy5	幹了它，乾杯
飲傻仔水	yamp2 so4 jay2 soy2	喝酒
飲醇自醉	yamp2 sont4 ji6 joy3	
飲水	yamp2 soy2	喝水
飲水機	yamp2 soy2 gey1	
飲水思源	yamp2 soy2 si1 yeun4	
飲筒	yamp2 tonk2	吸管
飲飲食食	yamp2 yamp2 sek6 sek6	吃吃喝喝
飲泣	yamp2 yap1	
飲用	yamp2 yonk6	
飲用水	yamp2 yonk6 soy2	
窨井	yamp3 jeng2	
淫賊	yamp4 cag6	
吟唱	yamp4 ceong3	
淫蕩	yamp4 dong6	
淫婦	yamp4 fu5	
任何	yamp4 ho4	
淫賤	yamp4 jin6	
吟誦	yamp4 jonk6	
淫亂	yamp4 leun6	
任務	yamp4 mow6	
吟哦	yamp4 ngo4	
淫書	yamp4 seu1	
吟詩	yamp4 si1	
吟詩作對	yamp4 si1 jog3 doy3	
淫褻	yamp4 sid3	
淫笑	yamp4 siu3	
淫威	yamp4 way1	
淫猥	yamp4 way2	
淫穢	yamp4 way3	
吟詠	yamp4 wenk6	
霪雨	yamp4 yeu5	
淫業	yamp4 yib6	
淫慾	yamp4 yok6	
荏苒	yamp5 yim5	
妊婦	yamp6 fu5	
衽金革	yamp6 gamp1 gag3	
任揀唔嬲	yamp6 gan2 m4 naw1	隨便挑選也不在乎
任職	yamp6 jek1	
衽席	yamp6 jek6	
任憑	yamp6 pank4	
妊娠	yamp6 sant1	
妊孕	yamp6 yant6	
姻婭	yant1 a3	
恩情	yant1 cenk4	
因此	yant1 ci2	
因此之故	yant1 ci2 ji1 gu3	
恩賜	yant1 ci3	
因材施教	yant1 coi4 si1 gau3	
恩寵	yant1 conk2	
恩重如山	yant1 conk5 yeu4 san1	
因循	yant1 cont4	
因循守舊	yant1 cont4 saw2 gaw6	
因地制宜	yant1 dey6 jay3 yi4	
恩典	yant1 din2	
殷鑑	yant1 gam3	
殷鑑不遠	yant1 gam3 bat1 yeun5	
因公殉職	yant1 gonk1 sont1 jek1	
因故	yant1 gu3	
因果	yant1 guo2	
因果報應	yant1 guo2 bow3 yenk3	
因果關係	yant1 guo2 guan1 hay6	
因果論	yant1 guo2 lont6	
因果律	yant1 guo2 lot6	
因襲	yant1 jab6	
因襲陳規	yant1 jab6 cant4 kuay1	
恩將仇報	yant1 jeong1 saw4 bow3	
因住	yant1 jeu6	當心，小心
因住電親	yant1 jeu6 din6 cant1	當心觸電
因住凍親	yant1 jeu6 donk3 cant1	當心著涼，小心著涼
因之	yant1 ji1	
因子	yant1 ji2	
殷勤	yant1 kant4	
因陋就簡	yant1 law6 jaw6 gan2	
因利乘便	yant1 ley6 senk4 bin6	
堙滅	yant1 mid6	
堙沒	yant1 mud6	
恩愛	yant1 oi3	
恩愛夫妻	yant1 oi3 fu1 cay1	
甄審	yant1 samp2	
恩仇	yant1 saw4	
因勢利導	yant1 say3 ley6 dow6	
因式	yant1 sek1	
因式分解	yant1 sek1 fant1 gai2	
欣賞	yant1 seong2	
甄選	yant1 seun2	
甄選人才	yant1 seun2 yant4 coi4	
恩師	yant1 si1	
因時制宜	yant1 si4 jay3 yi4	
因小失大	yant1 siu2 sat1 dai6	
因素	yant1 sow3	
因數	yant1 sow3	
因數分解	yant1 sow3 fant1 gai2	
氤氳	yant1 want1	
欣慰	yant1 way3	
恩惠	yant1 way6	
因為	yant1 way6	
因禍得福	yant1 wo6 dak1 fok1	
恩恩愛愛	yant1 yant1 oi3 oi3	
恩恩怨怨	yant1 yant1 yeun3 yeun3	
恩人	yant1 yant4	
因人成事	yant1 yant4 senk4 si6	
因人而異	yant1 yant4 yi4 yi6	
因由	yant1 yaw4	原因
因由	yant1 yaw4	
因應	yant1 yenk3	
因雨取消	yant1 yeu5 coy2 siu1	
因雨延期	yant1 yeu5 yin4 key4	
恩怨	yant1 yeun3	
姻緣	yant1 yeun4	
因緣	yant1 yeun4	
因緣際會	yant1 yeun4 jay3 wui6	
因而	yant1 yi4	
因噎廢食	yant1 yid3 fay3 sek6	
隱蔽	yant2 bay3	
隱藏	yant2 cong4	
隱伏	yant2 fok6	
隱晦	yant2 fui3	
隱居	yant2 goy1	
忍唔到	yant2 m4 dow2	忍不住
隱密	yant2 mat6	
隱名	yant2 menk4	
隱瞞	yant2 mun4	
忍耐	yant2 noi6	
忍心	yant2 samp1	
隱身	yant2 sant1	
隱身術	yant2 sant1 sot6	
忍受	yant2 saw6	
隱姓埋名	yant2 senk3 mai4 menk4	
隱私	yant2 si1	
隱私權	yant2 si1 keun4	
隱退	yant2 toy3	
隱諱	yant2 way5	
隱隱	yant2 yant2	
隱隱作痛	yant2 yant2 jog3 tonk3	
隱隱約約	yant2 yant2 yeog3 yeog3	
隱形	yant2 yenk4	
隱形眼鏡	yant2 yenk4 ngan5 geng3	
隱形人	yant2 yenk4 yant4	
隱約	yant2 yeog3	
忍讓	yant2 yeong6	
隱語	yant2 yeu5	
隱喻	yant2 yeu6	
印本	yant3 bun2	
印刷	yant3 cad3	
印刷品	yant3 cad3 bant2	
印刷廠	yant3 cad3 cong2	
印刷機	yant3 cad3 gey1	
印刷術	yant3 cad3 sot6	
印刷體	yant3 cad3 tay2	
印刷業	yant3 cad3 yib6	
印出	yant3 cot1	
印度教	yant3 dow6 gau3	
印度豹	yant3 dow6 pau3	
印度人	yant3 dow6 yant4	
印花	yant3 fa1	
印花稅	yant3 fa1 soy3	
印發	yant3 fad3	
印鑑	yant3 gam3	
印記	yant3 gey3	
印痕	yant3 hant6	
印證	yant3 jenk3	
印章	yant3 jeong1	
印象	yant3 jeong6	
印象主義	yant3 jeong6 jeu2 yi6	
印模	yant3 mow4	
印泥	yant3 nay4	
印尼人	yant3 ney4 yant4	
印綬	yant3 saw6	
印染	yant3 yim5	
印傭	yant3 yonk4	印尼傭人
人辦	yant4 ban2	樣版，榜樣
人不犯我，我不犯人	yant4 bat1 fan6 ngo5 ngo5 bat1 fan6 yant4	
人不犯我，我不犯人，人若犯我，我必犯人	yant4 bat1 fan6 ngo5 ngo5 bat1 fan6 yant4 yant4 yeog6 fan6 ngo5 ngo5 bid1 fan6 yant4	
人不可貌相	yant4 bat1 ho2 mau6 seong3	
人不可貌相，海不可斗量	yant4 bat1 ho2 mau6 seong3 hoi2 bat1 ho2 daw2 leong4	
人不知鬼不覺	yant4 bat1 ji1 guay2 bat1 gog3	
人不為己，天誅地滅	yant4 bat1 way4 gey2 tin1 jeu1 dey6 mid6	
人比人氣死人	yant4 bey2 yant4 hey3 sey2 yant4	
人稱	yant4 cenk1	
人稱代名詞	yant4 cenk1 doi6 menk4 ci4	
仁慈	yant4 ci4	
人才	yant4 coi4	
仁德	yant4 dak1	
仁弟	yant4 day6	
人哋	yant4 dey6	人家，別人
人道	yant4 dow6	
人道精神	yant4 dow6 jenk1 sant4	
人道主義	yant4 dow6 jeu2 yi6	
人非草木	yant4 fey1 cow2 mok6	
人非聖賢，孰能無過	yant4 fey1 senk3 yin4 sok6 nank4 mow4 guo3	
人逢喜事精神爽	yant4 fonk4 hey2 si5 jenk1 sant4 song2	
人軋人	yant4 gad3 yant4	
人間	yant4 gan1	
人間地獄	yant4 gan1 dey6 yok6	
人間仙境	yant4 gan1 sin1 genk2	
人間天堂	yant4 gan1 tin1 tong4	
人見人愛	yant4 gin3 yant4 oi3	
人工	yant4 gonk1	工資
人客	yant4 hag3	客人
人喊馬嘶	yant4 ham3 ma5 say1	
人行道	yant4 hang4 dow6	
人口	yant4 haw2	
仁厚	yant4 haw5	
仁兄	yant4 henk1	
人氣	yant4 hey3	
人仔	yant4 jay2	人民幣
人際	yant4 jay3	
人際關係	yant4 jay3 guan1 hay6	
仁者	yant4 je2	
仁者见仁，智者見智	yant4 je2 gin3 yant4 ji3 je2 gin3 ji3	
仁者無敵	yant4 je2 mow4 dek6	
人之將死，其言也善	yant4 ji1 jeong1 sey2 key4 yin4 ya5 sin6	
人之常情	yant4 ji1 seong4 cenk4	
人質	yant4 ji3	
仁至義盡	yant4 ji3 yi6 jont6	
人在福中不知福	yant4 joi6 fok1 jonk1 bat1 ji1 fok1	
人中	yant4 jonk1	
人盡可夫	yant4 jont6 ho2 fu1	
人造	yant4 jow6	
人造纖維	yant4 jow6 cim1 way4	
人造絲	yant4 jow6 si1	
人造衛星	yant4 jow6 way6 senk1	
人權	yant4 keun4	
人群	yant4 kuant4	
人龍	yant4 lonk4	隊排得很長
人類	yant4 loy6	
人類學	yant4 loy6 hog6	
人類學家	yant4 loy6 hog6 ga1	
人唔似人，鬼唔似鬼	yant4 m4 ci5 yant4 guay2 m4 ci5 guay2	落魄
人馬	yant4 ma5	
人民	yant4 mant4	
人民幣	yant4 mant4 bay6	
仁民愛物	yant4 mant4 oi3 mat6	
人物	yant4 mat6	
人物誌	yant4 mat6 ji3	
人面獸心	yant4 min6 saw3 samp1	
人面桃花	yant4 min6 tow4 fa1	
人無千日好	yant4 mow4 cin1 yat6 how2	
人無千日好，花無百日紅	yant4 mow4 cin1 yat6 how2 fa1 mow4 bag3 yat6 honk4	
仁愛	yant4 oi3	
人怕噅， 米怕篩	yant4 pa3 ngay1 may5 pa3 say1	人怕別人多次懇求，人就怕被人哀求
人參	yant4 samp1	
仁心	yant4 samp1	
人心不足蛇吞象	yant4 samp1 bat1 jok1 se4 tant1 jeong6	
仁心仁術	yant4 samp1 yant4 sot6	
人生	yant4 sank1	
人生觀	yant4 sank1 gun1	
人生路不熟	yant4 sank1 low6 bat1 sok6	
人生舞台	yant4 sank1 mow5 toi4	
人生如朝露	yant4 sank1 yeu4 jiu1 low6	
人生如夢	yant4 sank1 yeu4 monk6	
人生意義	yant4 sank1 yi3 yi6	
人身攻擊	yant4 sant1 gonk1 gek1	
人細鬼大	yant4 say3 guay2 dai6	人小鬼大，人小點子多
人蛇	yant4 se4	水路偷渡者，非法入境者
人選	yant4 seun2	
人算不如天算	yant4 seun3 bat1 yeu4 tin1 seun3	
仁術	yant4 sot6	
人數	yant4 sow3	
人衰行路打倒褪	yant4 soy1 hang4 low6 da2 dow2 tant3	人倒霉，走路都摔跤
人頭	yant4 taw4	
人頭豬腦	yant4 taw4 jeu1 now5	蠢笨
人頭稅	yant4 taw4 soy3	
人頭湧湧	yant4 taw4 yonk2 yonk2	人山人海
人體	yant4 tay2	
人寰	yant4 wan4	
人云亦云	yant4 want4 yek6 want4	
人為財死，鳥為食亡	yant4 way4 coi4 sey2 niu5 way4 sek6 mong4	
人為刀俎	yant4 way4 dow1 jo2	
人為萬物之靈	yant4 way4 man6 mat6 ji1 lenk4	
仁人	yant4 yant4	
仁人君子	yant4 yant4 guant1 ji2	
仁人志士	yant4 yant4 ji3 si6	
人有我有	yant4 yaw5 ngo5 yaw5	人家有的我也有
人員	yant4 yeun4	
人猿	yant4 yeun4	
仁義	yant4 yi6	
仁義道德	yant4 yi6 dow6 dak1	
仁義禮智信	yant4 yi6 lay5 ji3 sont3	
仁言利博	yant4 yin4 ley6 bog3	
人慾橫流	yant4 yok6 wang4 law4	
引爆	yant5 bau3	
引發	yant5 fad3	
引咎辭職	yant5 gaw3 ci4 jek1	
引誘	yant5 yaw5	
引用	yant5 yonk6	
引用文	yant5 yonk6 mant4	
孕婦	yant6 fu5	
紉針	yant6 jamp1	
韌性	yant6 senk3	
孕育	yant6 yok6	
泣不成聲	yap1 bat1 senk4 senk1	
翕動	yap1 donk6	
翕眼	yap1 ngan5	眨眼
悒鬱	yap1 wat1	
熠熠閃爍	yap1 yap1 sim2 seog3	
入	yap6	進
入不敷出	yap6 bat1 fu1 cot1	
入便	yap6 bin6	裡面，裡頭，裡邊
入侵	yap6 camp1	
入秋	yap6 caw1	
入場	yap6 ceong4	
入錢	yap6 cin2	存錢
入黨	yap6 dong2	
入伙	yap6 fo2	入住
入貨	yap6 fo3	進貨，買進
入境	yap6 genk2	
入境簽證	yap6 genk2 cim1 jenk3	
入境隨俗	yap6 genk2 coy4 jok6	
入境證	yap6 genk2 jenk3	
入境問俗	yap6 genk2 mant6 jok6	
入境問俗，入鄉隨俗	yap6 genk2 mant6 jok6 yap6 heong1 coy4 jok6	
入境手續	yap6 genk2 saw2 jok6	
入口	yap6 haw2	
入口即化	yap6 haw2 jek1 fa3	
入鄉隨俗	yap6 heong1 coy4 jok6	
入去	yap6 hoy3	進去
入閘口	yap6 jab6 haw2	進剪票口
入蟄	yap6 jat6	
入樽	yap6 jont1	扣籃，灌籃，進球，投籃
入嚟	yap6 ley4	進來
入嚟啦	yap6 ley4 la1	進來吧，請進
入殮	yap6 lim5	
入面	yap6 min6	裡面
入魔	yap6 mo1	
入門	yap6 mun4	
入伍	yap6 ng5	
入聲	yap6 senk1	
入選	yap6 seun2	
入數	yap6 sow3	入賬
入土為安	yap6 tow2 way4 on1	
入圍	yap6 way4	
入闈	yap6 way4	
入院	yap6 yeun6	
入獄	yap6 yok6	
一百	yat1 bag3	
一敗塗地	yat1 bai6 tow4 dey6	
一不做二不休	yat1 bat1 jow6 yi6 bat1 yaw1	
一筆勾銷	yat1 bat1 ngaw1 siu1	
一不小心	yat1 bat1 siu2 samp1	
一飽口福	yat1 bau2 haw2 fok1	
一飽眼福	yat1 bau2 ngan5 fok1	
一飽耳福	yat1 bau2 yi5 fok1	
一病不起	yat1 beng6 bat1 hey2	
一臂之力	yat1 bey3 ji1 lek6	
一鼻孔出氣	yat1 bey6 honk2 cot1 hey3	
一邊倒	yat1 bin1 dow2	
一便	yat1 bin6	一邊，一頭
一便…，一便…	yat1 bin6 yat1 bin6	一邊…，一邊…
一表人材	yat1 biu2 yant4 coi4	
一表人才	yat1 biu2 yant4 coi4	
一波未平	yat1 bo1 mey6 penk4	
一波三折	yat1 bo1 sam1 jid3	
一波又起	yat1 bo1 yaw6 hey2	
一曝十寒	yat1 bok6 sap6 hon4	
一步登天	yat1 bow6 dank1 tin1	
一部分	yat1 bow6 fant6	
一輩	yat1 bui3	
一般	yat1 bun1	
一般情形	yat1 bun1 cenk4 yenk4	
一般嘅	yat1 bun1 ge3	一般的
一般狀況	yat1 bun1 jong6 fong3	
一般嚟講	yat1 bun1 ley4 gong2	一般來說
一般性	yat1 bun1 senk3	
一般常識	yat1 bun1 seong4 sek1	
一般人	yat1 bun1 yant4	
一般而言	yat1 bun1 yi4 yin4	
一本正經	yat1 bun2 jenk3 genk1	
一本萬利	yat1 bun2 man6 ley6	
一親芳澤	yat1 cant1 fong1 jag6	
一塵不染	yat1 cant4 bat1 yim5	
一揪一掕	yat1 caw1 yat1 lank3	一串串的，一包一袋
一籌莫展	yat1 caw4 mog6 jin2	
一妻多夫	yat1 cay1 do1 fu1	
一妻多夫制	yat1 cay1 do1 fu1 jay3	
一妻制	yat1 cay1 jay3	
一切	yat1 cay3	
一齊	yat1 cay4	一起
一清如水	yat1 cenk1 yeu4 soy2	
一清二白	yat1 cenk1 yi6 bag6	
一清二楚	yat1 cenk1 yi6 co2	
一場兄弟	yat1 ceong4 henk1 day6	兄弟一場
一柱擎天	yat1 ceu5 kenk4 tin1	
一寸光陰一寸金	yat1 ceun3 guong1 yamp1 yat1 ceun3 gamp1	
一次	yat1 ci3	
一次過	yat1 ci3 guo3	一次性，就一次，一下兒，一次為止，下不為例
一池秋水	yat1 ci4 caw1 soy2	
一池春水	yat1 ci4 cont1 soy2	
一錯再錯	yat1 co3 joi3 co3	
一觸即發	yat1 cok1 jek1 fad3	
一蹴而就	yat1 cok1 yi4 jaw6	
一登龍門	yat1 dank1 lonk4 mun4	
一等兵	yat1 dank2 benk1	
一等艙	yat1 dank2 cong1	
一丁不識	yat1 denk1 bat1 sek1	
一丁點	yat1 denk1 dim2	
一定	yat1 denk6	
一啲都唔	yat1 di1 dow1 m4	一點也不
一啲都唔知	yat1 di1 dow1 m4 ji1	一點也不知道
一跌再跌	yat1 did3 joi3 did3	
一點鐘	yat1 dim2 jonk1	
一點一滴	yat1 dim2 yat1 dek1	
一代	yat1 doi6	
一代不如一代	yat1 doi6 bat1 yeu4 yat1 doi6	
一代豪傑	yat1 doi6 how4 gid6	
一代新人換舊人	yat1 doi6 sant1 yant4 wun6 gaw6 yant4	
一代英豪	yat1 doi6 yenk1 how4	
一督就穿	yat1 dok1 jaw6 ceun1	一戳就破
一黨制	yat1 dong2 jay3	
一動不動	yat1 donk6 bat1 donk6	
一動不如一靜	yat1 donk6 bat1 yeu4 yat1 jenk6	
一戙都冇	yat1 donk6 dow1 mow5	一文不值，一錢不值，毫無辦法，
一刀兩斷	yat1 dow1 leong5 deun6	
一對多	yat1 doy3 do1	
一對一	yat1 doy3 yat1	
一發不可收拾	yat1 fad3 bat1 ho2 saw1 sap6	
一髮千鈞	yat1 fad3 cin1 guant1	
一番苦心	yat1 fan1 fu2 samp1	
一反常態	yat1 fan2 seong4 tai3	
一帆風順	yat1 fan4 fonk1 sont6	
一分錢一分貨	yat1 fant1 cin4 yat1 fant1 fo3	
一分為二	yat1 fant1 way4 yi6	
一分一秒	yat1 fant1 yat1 miu5	
一飛沖天	yat1 fey1 conk1 tin1	
一方面	yat1 fong1 min6	
一房一廳	yat1 fong4 yat1 tenk1	
一呼百應	yat1 fu1 bag3 yenk3	
一夫多妻	yat1 fu1 do1 cay1	
一夫當關	yat1 fu1 dong1 guan1	
一夫一妻	yat1 fu1 yat1 cay1	
一夫一妻制	yat1 fu1 yat1 cay1 jay3	
一家大小	yat1 ga1 dai6 siu2	
一家之主	yat1 ga1 ji1 jeu2	
一家人	yat1 ga1 yant4	
一拮就穿	yat1 gat1 jaw6 ceun1	一戳就破
一較高下	yat1 gau3 gow1 ha6	
一頸血	yat1 geng2 heud3	傷亡慘重，宰人一筆
一腳踢	yat1 geog3 teg3	獨自幹某事，沒有助手，一手包辦，一力承擔，包攬一切，包幹，包攪，通通，全包了
一腳踢開	yat1 geog3 teg3 hoi1	
一己之見	yat1 gey2 ji1 gin3	
一己之私	yat1 gey2 ji1 si1	
一技之長	yat1 gey6 ji1 ceong4	
一見鍾情	yat1 gin3 jonk1 cenk4	
一見傾心	yat1 gin3 kenk1 samp1	
一見如故	yat1 gin3 yeu4 gu3	
一個	yat1 go3	
一個巴掌拍不響	yat1 go3 ba1 jeong2 pag3 bat1 heong2	
一個崩	yat1 go3 bank1	一個子兒，一分錢
一個餅印	yat1 go3 beng2 yant3	完全相同，一個樣兒，一模一樣
一個啫	yat1 go3 je1	一個而已
一個字	yat1 go3 ji6	五分鍾
一個做好，一個做醜	yat1 go3 jow6 how2 yat1 go3 jow6 caw2	一個唱紅臉，一個唱白臉
一個蘿蔔一個坑	yat1 go3 lo4 bag6 yat1 go3 hang1	
一個頭兩個大	yat1 go3 taw4 leong5 go3 dai6	
一個人	yat1 go3 yant4	
一乾二淨	yat1 gon1 yi6 jenk6	
一共	yat1 gonk6	
一舉兩得	yat1 goy2 leong5 dak1	
一舉成名	yat1 goy2 senk4 menk4	
一舉一動	yat1 goy2 yat1 donk6	
一句講晒	yat1 goy3 gong2 sai3	總括而言
一句話都唔聲	yat1 goy3 wa2 dow1 m4 seng1	一句話都不說
一鼓作氣	yat1 gu2 jog3 hey3	
一骨碌	yat1 guat1 lok1	
一官半職	yat1 gun1 bun3 jek1	
一貫	yat1 gun3	
一國之君	yat1 guog3 ji1 guant1	
一國之主	yat1 guog3 ji1 jeu2	
一國兩制	yat1 guog3 leong5 jay3	
