開放粵語詞典（粵語拼音字數字調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［粵語拼音］	［國語解釋］
白淨	bag6 jenk6	白嫩
白紙	bag6 ji2	
白紙黑字	bag6 ji2 hak1 ji6	
白粥	bag6 jok1	稀飯，稀粥
白撞雨	bag6 jong6 yeu5	過雲雨
白做	bag6 jow6	白幹一場
白鯨	bag6 kenk4	
白旗	bag6 key4	
白蘭	bag6 lan4	
白蘭地	bag6 lan4 dey6	
白蘭花	bag6 lan4 fa1	
白領	bag6 lenk5	
白領階級	bag6 lenk5 gai1 kap1	
白蓮教	bag6 lin4 gau3	
白鷺	bag6 low6	
白馬王子	bag6 ma5 wong4 ji2	
白貓	bag6 mau1	
白米	bag6 may5	
白面	bag6 min6	
白面書生	bag6 min6 seu1 sank1	
白木耳	bag6 mok6 yi5	
白蒙蒙	bag6 monk1 monk1	雪白雪白的
白眼	bag6 ngan5	
白銀	bag6 ngant4	
白蟻	bag6 ngay5	
白堊紀	bag6 og3 gey2	
白皮書	bag6 pey4 seu1	
白紗	bag6 sa1	
白沙	bag6 sa1	
白嘥	bag6 sai1	白費
白首	bag6 saw2	
白手	bag6 saw2	
白手起家	bag6 saw2 hey2 ga1	
白色	bag6 sek1	
白皙	bag6 sek1	
白蝕	bag6 sek6	汗斑
白鼠	bag6 seu2	
白薯	bag6 seu4	
白雪雪	bag6 seud1 seud1	白白的，雪白
白雪	bag6 seud3	
白水	bag6 soy2	
白頭到老	bag6 taw4 dow3 low5	
白頭偕老	bag6 taw4 gai1 low5	
白頭翁	bag6 taw4 yonk1	
白糖	bag6 tong4	
白話	bag6 wa2	
白話	bag6 wa2	本地話，廣州話，廣府話，廣東話
白話文	bag6 wa2 mant4	
白話文學	bag6 wa2 mant4 hog6	
白雲	bag6 want4	
白日夢	bag6 yat6 monk6	
白油	bag6 yaw2	醬油
白楊	bag6 yeong4	
白楊樹	bag6 yeong4 seu6	
白衣天使	bag6 yi1 tin1 si3	
白熱	bag6 yid6	
白熱化	bag6 yid6 fa3	
白玉	bag6 yok6	
白肉	bag6 yok6	
拜拜	bai1 bai3	再見，拜拜
擺	bai2	擺放
擺設	bai2 cid3	
擺檔	bai2 dong2	擺攤子
擺檔口	bai2 dong2 haw2	擺攤子
擺放	bai2 fong3	
擺供	bai2 gonk3	
擺酒	bai2 jaw2	擺酒席，辦酒席
擺甫士	bai2 pow1 si2	擺姿勢
擺脫	bai2 teud3	
擺烏龍	bai2 wu1 lonk2	弄錯，搞誤會
拜把	bai3 ba2	
拜把兄弟	bai3 ba2 henk1 day6	
拜讀	bai3 dok6	
拜倒	bai3 dow2	
拜倒石榴裙之下	bai3 dow2 seg6 law4 kuant4 ji1 ha6	
拜佛	bai3 fat1	
拜火教	bai3 fo2 gau3	
拜訪	bai3 fong2	
拜金	bai3 gamp1	
拜金主義	bai3 gamp1 jeu2 yi6	
拜見	bai3 gin3	
拜祭	bai3 jay3	
拜袓先	bai3 jow2 sin1	
拜老師	bai3 low5 si1	
拜廟	bai3 miu6	
拜偶像	bai3 ngaw5 jeong6	
拜年	bai3 nin4	
拜票	bai3 piu3	
拜山	bai3 san1	上墳，掃墓
拜神	bai3 sant4	
拜師	bai3 si1	
拜師學藝	bai3 si1 hog6 ngay6	
拜天地	bai3 tin1 dey6	
拜托	bai3 tog3	
拜揖	bai3 yap1	
敗北	bai6 bak1	
敗家	bai6 ga1	
敗家仔	bai6 ga1 jay2	敗家子
敗家精	bai6 ga1 jenk1	敗家子
敗軍	bai6 guant1	
敗興	bai6 henk3	
敗興而歸	bai6 henk3 yi4 guay1	
敗血病	bai6 heud3 benk6	
敗血症	bai6 heud3 jenk3	
敗陣	bai6 jant6	
敗者為寇	bai6 je2 way4 kaw3	
敗將	bai6 jeong3	
敗仗	bai6 jeong3	
敗落	bai6 log6	
敗類	bai6 loy6	
敗事有餘	bai6 si6 yaw5 yeu4	
敗訴	bai6 sow3	
敗絮	bai6 soy5	
敗絮其中	bai6 soy5 key4 jonk1	
敗退	bai6 toy3	
敗壞	bai6 wai6	
敗胃	bai6 way6	
北便	bak1 bin6	北邊
北部	bak1 bow6	
北斗星	bak1 daw2 senk1	
北方	bak1 fong1	
北極	bak1 gek6	
北極熊	bak1 gek6 honk4	
北芪	bak1 key4	黃芪
北佬	bak1 low2	北方人
泵把	bamp1 ba2	保險桿
泵車	bamp1 ce1	抽水車，消防車
泵氣	bamp1 hey3	打氣
泵水	bamp1 soy2	抽水
班	ban1	糾合，糾集，拉隊伍，糾集同伙
班	ban1	群，伙
班兵	ban1 benk1	請援兵，請人幫忙，請求援助，搬兵
班車	ban1 ce1	
班次	ban1 ci3	
班底	ban1 day2	
班代表	ban1 doi6 biu2	
班房	ban1 fong2	教室，課室
斑鳩	ban1 gaw1	
瘢痕	ban1 hant4	
頒獎	ban1 jeong2	
班長	ban1 jeong2	
頒獎典禮	ban1 jeong2 din2 lay5	
頒獎禮	ban1 jeong2 lay2	
班主任	ban1 jeu2 yamp6	
班戟	ban1 kek1	薄煎餅，薄烤餅，熱香餅
斑斕	ban1 lan4	
斑馬	ban1 ma5	
班馬	ban1 ma5	搬救兵，召集黨徒，召集羽翼
班門弄斧	ban1 mun4 lonk6 fu2	
班師	ban1 si1	
