开放粤语词典（粤语拼音字数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［粤语拼音］	［国语解释］
一点钟	yat1 dim2 jonk1	
一点一滴	yat1 dim2 yat1 dek1	
一代	yat1 doi6	
一代不如一代	yat1 doi6 bat1 yeu4 yat1 doi6	
一代豪杰	yat1 doi6 how4 gid6	
一代新人换旧人	yat1 doi6 sant1 yant4 wun6 gaw6 yant4	
一代英豪	yat1 doi6 yenk1 how4	
一督就穿	yat1 dok1 jaw6 ceun1	一戳就破
一党制	yat1 dong2 jay3	
一动不动	yat1 donk6 bat1 donk6	
一动不如一静	yat1 donk6 bat1 yeu4 yat1 jenk6	
一戙都冇	yat1 donk6 dow1 mow5	一文不值，一钱不值，毫无办法，
一刀两断	yat1 dow1 leong5 deun6	
一对多	yat1 doy3 do1	
一对一	yat1 doy3 yat1	
一发不可收拾	yat1 fad3 bat1 ho2 saw1 sap6	
一发千钧	yat1 fad3 cin1 guant1	
一番苦心	yat1 fan1 fu2 samp1	
一反常态	yat1 fan2 seong4 tai3	
一帆风顺	yat1 fan4 fonk1 sont6	
一分钱一分货	yat1 fant1 cin4 yat1 fant1 fo3	
一分为二	yat1 fant1 way4 yi6	
一分一秒	yat1 fant1 yat1 miu5	
一飞冲天	yat1 fey1 conk1 tin1	
一方面	yat1 fong1 min6	
一房一厅	yat1 fong4 yat1 tenk1	
一呼百应	yat1 fu1 bag3 yenk3	
一夫多妻	yat1 fu1 do1 cay1	
一夫当关	yat1 fu1 dong1 guan1	
一夫一妻	yat1 fu1 yat1 cay1	
一夫一妻制	yat1 fu1 yat1 cay1 jay3	
一家大小	yat1 ga1 dai6 siu2	
一家之主	yat1 ga1 ji1 jeu2	
一家人	yat1 ga1 yant4	
一拮就穿	yat1 gat1 jaw6 ceun1	一戳就破
一较高下	yat1 gau3 gow1 ha6	
一颈血	yat1 geng2 heud3	伤亡惨重，宰人一笔
一脚踢	yat1 geog3 teg3	独自干某事，没有助手，一手包办，一力承担，包揽一切，包干，包搅，通通，全包了
一脚踢开	yat1 geog3 teg3 hoi1	
一己之见	yat1 gey2 ji1 gin3	
一己之私	yat1 gey2 ji1 si1	
一技之长	yat1 gey6 ji1 ceong4	
一见钟情	yat1 gin3 jonk1 cenk4	
一见倾心	yat1 gin3 kenk1 samp1	
一见如故	yat1 gin3 yeu4 gu3	
一个	yat1 go3	
一个巴掌拍不响	yat1 go3 ba1 jeong2 pag3 bat1 heong2	
一个崩	yat1 go3 bank1	一个子儿，一分钱
一个饼印	yat1 go3 beng2 yant3	完全相同，一个样儿，一模一样
一个啫	yat1 go3 je1	一个而已
一个字	yat1 go3 ji6	五分钟
一个做好，一个做丑	yat1 go3 jow6 how2 yat1 go3 jow6 caw2	一个唱红脸，一个唱白脸
一个萝卜一个坑	yat1 go3 lo4 bag6 yat1 go3 hang1	
一个头两个大	yat1 go3 taw4 leong5 go3 dai6	
一个人	yat1 go3 yant4	
一干二净	yat1 gon1 yi6 jenk6	
一共	yat1 gonk6	
一举两得	yat1 goy2 leong5 dak1	
一举成名	yat1 goy2 senk4 menk4	
一举一动	yat1 goy2 yat1 donk6	
一句讲晒	yat1 goy3 gong2 sai3	总括而言
一句话都唔声	yat1 goy3 wa2 dow1 m4 seng1	一句话都不说
一鼓作气	yat1 gu2 jog3 hey3	
一骨碌	yat1 guat1 lok1	
一官半职	yat1 gun1 bun3 jek1	
一贯	yat1 gun3	
一国之君	yat1 guog3 ji1 guant1	
一国之主	yat1 guog3 ji1 jeu2	
一国两制	yat1 guog3 leong5 jay3	
一吓	yat1 ha5	一下子，突然，稍不经意
一刻千金	yat1 hak1 cin1 gamp1	
一口价	yat1 haw2 ga3	实价，言无二价，铁价不二
一系	yat1 hay6	要么，或者，还是
一向	yat1 heong3	
一气呵成	yat1 hey3 ho1 senk4	
一气之下	yat1 hey3 ji1 ha6	
一窍不通	yat1 hiu3 bat1 tonk1	
一学就识	yat1 hog6 jaw6 sek1	一学便会
一腔热血	yat1 hong1 yid6 heud3	
一腔热诚	yat1 hong1 yid6 senk4	
一去不返	yat1 hoy3 bat1 fan2	
一去不复返	yat1 hoy3 bat1 fok6 fan2	
一掷千金	yat1 jag6 cin1 gamp1	
一斋两杂	yat1 jai1 leong5 jab6	两荤一素
一斋三杂	yat1 jai1 sam1 jab6	三荤一素
一针见血	yat1 jamp1 gin3 heud3	
一阵	yat1 jant6	一回儿，一阵子
一阵间	yat1 jant6 gan1	一会儿，待一会儿
一只屐	yat1 jeg3 keg6	垂头丧气
一直行	yat1 jek6 hang4	一直走，直走
一直去	yat1 jek6 hoy3	一直走，直走
一席之地	yat1 jek6 ji1 dey6	
一夕之间	yat1 jek6 ji1 gan1	
一怔	yat1 jenk1	
一将功成万骨枯	yat1 jeong3 gonk1 senk4 man6 guat1 fu1	
一住…一住…	yat1 jeu6 yat1 jeu6	边…边…，一边…一边…
一转眼	yat1 jeun2 ngan5	
一知半解	yat1 ji1 bun3 gai2	
一枝独秀	yat1 ji1 dok6 saw3	
一枝公	yat1 ji1 gonk1	一个人
一枝之栖	yat1 ji1 ji1 cay1	
一纸空文	yat1 ji2 honk1 mant4	
一致	yat1 ji3	
一致性	yat1 ji3 senk3	
一字不差	yat1 ji6 bat1 ca1	
一字不漏	yat1 ji6 bat1 law6	
一字不识	yat1 ji6 bat1 sek1	
一字千金	yat1 ji6 cin1 gamp1	
一字之差	yat1 ji6 ji1 ca1	
一字之师	yat1 ji6 ji1 si1	
一展身手	yat1 jin2 sant1 saw2	
一箭双雕	yat1 jin3 seong1 diu1	
一朝被蛇咬	yat1 jiu1 bey6 se4 ngau5	
一招半式	yat1 jiu1 bun3 sek1	
一朝天子一朝臣	yat1 jiu1 tin1 ji2 yat1 jiu1 sant4	
一朝一夕	yat1 jiu1 yat1 jek6	
一再	yat1 joi3	
一竹篙打晒一船人	yat1 jok1 gow1 da2 sai3 yat1 seun4 yant4	以偏盖全
一竹篙揇咗一船人	yat1 jok1 gow1 nam5 jo2 yat1 seun4 yant4	一竹竿打了一船人
一早	yat1 jow2	早就，老早，很久以前
一醉解千愁	yat1 joy3 gai2 cin1 saw4	
一瘸一拐	yat1 ke4 yat1 guai2	
一蹶不振	yat1 keud3 bat1 jant3	
一决雌雄	yat1 keud3 ci1 honk4	
一决胜负	yat1 keud3 senk3 fu6	
一概	yat1 koi3	
一概而论	yat1 koi3 yi4 lont6	
一穷二白	yat1 konk4 yi6 bag6	
一窥究竟	yat1 kuay1 gaw3 genk2	
一览	yat1 lam4	
一览表	yat1 lam4 biu2	
一览无遗	yat1 lam5 mow4 way4	
一溜烟	yat1 law6 yin1	
一了百了	yat1 liu5 bag3 liu5	
一落千丈	yat1 log6 cin1 jeong6	
一劳永逸	yat1 low4 wenk5 yat6	
一路	yat1 low6	一直，一向，一贯
一路都有	yat1 low6 dow1 yaw5	一直都有
一路平安	yat1 low6 penk4 on1	
一路上	yat1 low6 seong6	
一路顺风	yat1 low6 sont6 fonk1	
一路…一路…	yat1 low6 yat1 low6	一边…一边…
一路以为	yat1 low6 yi5 way4	一直以为
一马当先	yat1 ma5 dong1 sin1	
一脉相传	yat1 mak6 seong1 ceun4	
一文不值	yat1 mant4 bat1 jek6	
一问三不知	yat1 mant6 sam1 bat1 ji1	
一问一答	yat1 mant6 yat1 dab3	
一物克一物	yat1 mat6 hak1 yat1 mat6	
一物降一物	yat1 mat6 hong4 yat1 mat6	
一鸣惊人	yat1 menk4 geng1 yant4	
一命呜呼	yat1 menk6 wu1 fu1	
一味	yat1 mey6	总是，只是，一个劲儿
一面之词	yat1 min6 ji1 ci4	
一面之交	yat1 min6 ji1 gau1	
一面之缘	yat1 min6 ji1 yeun4	
一面屁	yat1 min6 pey3	一鼻子灰，满脸羞惭，无地自容
一目了然	yat1 mok6 liu5 yin4	
一目了然	yat1 mok6 liu5 yin4	
一沐三握发	yat1 mok6 sam1 ak1 fad3	
一目十行	yat1 mok6 sap6 hong4	
一网打尽	yat1 mong5 da2 jont6	
一望无边	yat1 mong6 mow4 bin1	
一望无际	yat1 mong6 mow4 jay3	
一望无垠	yat1 mong6 mow4 ngant4	
一毛不拔	yat1 mow4 bat1 bat6	
一无长物	yat1 mow4 ceong4 mat6	
一无可取	yat1 mow4 ho2 coy2	
一无是处	yat1 mow4 si6 ceu3	
一无所长	yat1 mow4 so2 ceong4	
一无所恃	yat1 mow4 so2 ci5	
一无所得	yat1 mow4 so2 dak1	
一无所知	yat1 mow4 so2 ji1	
一无所获	yat1 mow4 so2 wog6	
一无所有	yat1 mow4 so2 yaw5	
一模一样	yat1 mow4 yat1 yeong6	
一五一十	yat1 ng5 yat1 sap6	
一误再误	yat1 ng6 joi3 ng4	
一额汗	yat1 ngag6 hon6	一把汗
一念之差	yat1 nim6 ji1 ca1	
一念之间	yat1 nim6 ji1 gan1	
一年半载	yat1 nin4 bun3 joi2	
一年级	yat1 nin4 kap1	
一年四季	yat1 nin4 sey3 guay3	
一诺千金	yat1 nog6 cin1 gamp1	
一诺值千金	yat1 nog6 jek6 cin1 gamp1	
一怒之下	yat1 now6 ji1 ha6	
一拍即合	yat1 pag3 jek1 hab6	
一派胡言	yat1 pai3 wu4 yin4	
一颦一笑	yat1 pant4 yat1 siu3	
一贫如洗	yat1 pant4 yeu4 say2	
一炮而红	yat1 pau3 yi4 honk4	
一篇文章	yat1 pin1 mant4 jeong1	
一片漆黑	yat1 pin3 cat1 hak1	
一片痴心	yat1 pin3 ci1 samp1	
一片丹心	yat1 pin3 dan1 samp1	
一片苦心	yat1 pin3 fu2 samp1	
一片汪洋	yat1 pin3 wong1 yeong4	
一倍	yat1 pui5	
一刹那	yat1 sad3 na5	
一心向上	yat1 samp1 heong3 seong6	
一心一意	yat1 samp1 yat1 yi3	
一心二用	yat1 samp1 yi6 yonk6	
一山还比一山高	yat1 san1 wan4 bey2 yat1 san1 gow1	
一生人	yat1 sang1 yant4	一辈子
一生受用不尽	yat1 sank1 saw6 yonk6 bat1 jont6	
一生一世	yat1 sank1 yat1 say3	
一身蚁	yat1 sant1 ngay5	一身麻烦，很多麻烦
一身是胆	yat1 sant1 si6 dam2	
一身松	yat1 sant1 sonk1	解除了负担， 一身轻快
一神教	yat1 sant4 gau3	
一神论	yat1 sant4 lont6	
一失足成千古恨	yat1 sat1 jok1 senk4 cin1 gu2 hant6	
一实	yat1 sat6	一定，肯定
一手包办	yat1 saw2 bau1 ban6	
一手遮天	yat1 saw2 je1 tin1	
一洗尘俗	yat1 say2 cant4 jok6	
一世	yat1 say3	一辈子
一世人	yat1 say3 yant4	一辈子
一世英名	yat1 say3 yenk1 menk4	
一些	yat1 se1	
一泻千里	yat1 se3 cin1 ley5	
一石两鸟	yat1 seg6 leong5 niu5	
一石二鸟	yat1 seg6 yi6 niu5	
一式	yat1 sek1	一样
一息尚存	yat1 sek1 seong6 ceun4	
一声不响	yat1 senk1 bat1 heong2	
一声不吭	yat1 senk1 bat1 hong4	
一成不变	yat1 senk4 bat1 bin3	
一厢情愿	yat1 seong1 cenk4 yeun6	
一树百获	yat1 seu6 bag3 wog6	
一死了之	yat1 sey2 liu5 ji1	
一死一伤	yat1 sey2 yat1 seong1	
一丝不苟	yat1 si1 bat1 gaw2	
一丝不挂	yat1 si1 bat1 gua3	
一丝一毫	yat1 si1 yat1 how4	
一时之间	yat1 si4 ji1 gan1	
一时糊涂	yat1 si4 wu4 tow4	
一事无成	yat1 si6 mow4 senk4	
一视同仁	yat1 si6 tonk4 yant4	
一闪即逝	yat1 sim2 jek1 say6	
一闪而过	yat1 sim2 yi4 guo3	
一线希望	yat1 sin3 hey1 mong6	
一线之隔	yat1 sin3 ji1 gag3	
一扫而光	yat1 sow3 yi4 guong1	
一扫而空	yat1 sow3 yi4 honk1	
一塌糊涂	yat1 tab3 wu4 tow4	
一头	yat1 taw4	一边，一边儿
一头雾水	yat1 taw4 mow6 soy2	满头雾水，莫名其妙，摸不着头脑，困惑，糊涂
一头…一头…	yat1 taw4 yat1 taw4	一边儿…一边儿…
一团糟	yat1 teun4 jow1	
一条气	yat1 tiu4 hey3	气喘吁吁，透不过气来
一条气	yat1 tiu4 hey3	气坏了
一条气	yat1 tiu4 hey3	一股劲，一口气，一气，不停地
一统天下	yat1 tonk2 tin1 ha6	
一吐为快	yat1 tow3 way4 fai3	
一肚屎计	yat1 tow5 si2 gay2	一肚子鬼主意
一窝蜂	yat1 wo1 fonk1	
一镬泡	yat1 wog6 pow5	一塌糊涂，一团糟，乱了套，一团乱
一镬泡	yat1 wog6 pow5	一团糟糕
一镬熟	yat1 wog6 sok6	大锅熬，连锅端，全部遭殃
一往	yat1 wong5	
一往情深	yat1 wong5 cenk4 samp1	
一狐之腋	yat1 wu4 ji1 yek6	
一回生两回熟	yat1 wui4 sank1 leong5 wui4 sok6	
一回生二回熟	yat1 wui4 sank1 yi6 wui4 sok6	
一饮而尽	yat1 yamp2 yi4 jont6	
一忍再忍	yat1 yant2 joi3 yant2	
一一	yat1 yat1	
一日	yat1 yat6	一天
一日千里	yat1 yat6 cin1 ley5	
一日到黑	yat1 yat6 dow3 hak1	一天到晚
一日夫妻百日恩	yat1 yat6 fu1 cay1 bag3 yat6 yant1	
一日之计在于晨	yat1 yat6 ji1 gay3 joi6 yeu1 sant4	
一丘之貉	yat1 yaw1 ji1 hog6	
一夜风流	yat1 ye6 fonk1 law4	
一夜致富	yat1 ye6 ji3 fu3	
一应俱全	yat1 yenk1 koy1 ceun4	
一氧化物	yat1 yeong5 fa3 mat6	
一氧化碳	yat1 yeong5 fa3 tan3	
一氧化碳中毒	yat1 yeong5 fa3 tan3	
一样	yat1 yeong6	
一于	yat1 yeu1	坚决，一定要，怎么也
一于噉话啦	yat1 yeu1 gamp2 wa6 la3	就这样办吧
一于系噉	yat1 yeu1 hay6 gamp2	就这么定
一于系噉啦	yat1 yeu1 hay6 gamp2 la3	就这样吧
一于唔	yat1 yeu1 m4	坚决不
一于唔畀佢去	yat1 yeu1 m4 bey2 koy5 hoy3	坚决不让他去
一于唔制	yat1 yeu1 m4 jay3	坚决不答应
一隅	yat1 yeu4	
一如既往	yat1 yeu4 gey3 wong5	
一如往昔	yat1 yeu4 wong5 sek1	
一语道破	yat1 yeu5 dow6 po3	
一语中的	yat1 yeu5 jonk3 dek1	
一语双关	yat1 yeu5 seong1 guan1	
一月份	yat1 yeud6 fant6	
一元化	yat1 yeun4 fa3	
一元方程式	yat1 yeun4 fong1 cenk4 sek1	
一意孤行	yat1 yi3 gu1 hank4	
一而再	yat1 yi4 joi3	
一以贯之	yat1 yi5 gun3 ji1	
一叶知秋	yat1 yib6 ji1 caw1	
一叶扁舟	yat1 yib6 pin1 jaw1	
一言不发	yat1 yin4 bat1 fad3	
一言半语	yat1 yin4 bun3 yeu5	
一言九鼎	yat1 yin4 gaw2 denk2	
一言既出驷马难追	yat1 yin4 gey3 cot1 si3 ma5 nan4 joy1	
一言兴邦	yat1 yin4 henk1 bong1	
一言中的	yat1 yin4 jonk3 dek1	
一言难尽	yat1 yin4 nan4 jont6	
一言丧邦	yat1 yin4 song3 bong1	
一言为定	yat1 yin4 way4 denk6	
一言一行	yat1 yin4 yat1 hank4	
一言以蔽	yat1 yin4 yi5 bay3	
日报	yat6 bow3	
日前	yat6 cin4	
日出	yat6 cot1	
溢出	yat6 cot1	
日趋严重	yat6 coy1 yim4 jonk6	
溢价	yat6 ga3	
日更	yat6 gang1	白班，日班
日记	yat6 gey3	
日晷	yat6 guay2	
日剧	yat6 keg6	
溢流	yat6 law4	
日历	yat6 lek6	
日落	yat6 log6	
溢美之词	yat6 mey5 ji1 ci4	
溢满	yat6 mun5	
日息	yat6 sek1	
日常用品	yat6 seong4 yonk6 bant2	日用品，日常用品
逸史	yat6 si2	
逸事	yat6 si6	
日头	yat6 taw2	太阳，白天
日头青青	yat6 taw2 ceng1 ceng1	白天
日晕	yat6 want6	
溢位	yat6 way6	
日日	yat6 yat6	天天，每天
溢于言表	yat6 yeu1 yin4 biu2	
日月如梭	yat6 yeud6 yeu4 so1	
日裔	yat6 yoy6	
忧	yaw1	愁，担忧，忧虑，担心
幽暗	yaw1 amp3	
幽情	yaw1 cenk4	
优等	yaw1 dank2	
优等奖	yaw1 dank2 jeong2	
优等生	yaw1 dank2 sang1	
优点	yaw1 dim2	
优待	yaw1 doi6	
休假	yaw1 ga3	
幽禁	yaw1 gamp3	
幽谷	yaw1 gok1	
幽居	yaw1 goy1	
忧国	yaw1 guog3	
忧国忧民	yaw1 guog3 yaw1 mant4	
幽光	yaw1 guong1	
悠闲	yaw1 han4	
休闲	yaw1 han4	
休闲活动	yaw1 han4 wud6 donk6	
优厚	yaw1 haw5	
幽香	yaw1 heong1	
休憩	yaw1 hey3	
优质	yaw1 jat1	
优质钢	yaw1 jat1 gong3	
幽静	yaw1 jenk6	
优哉游哉	yaw1 joi1 yaw4 joi1	
优缺点	yaw1 keud3 dim2	
优伶	yaw1 lenk4	
丘陵	yaw1 lenk4	
幽灵	yaw1 lenk4	
优良	yaw1 leong4	
优良单株	yaw1 leong4 dan1 jeu1	
优良性	yaw1 leong4 senk3	
优劣	yaw1 leud3	
忧劳	yaw1 low4	
忧劳成疾	yaw1 low4 senk4 jat6	
忧虑	yaw1 loy6	
幽默	yaw1 mak6	
幽默感	yaw1 mak6 gamp2	
幽冥	yaw1 menk4	
优美	yaw1 mey5	
幽美	yaw1 mey5	
幽雅	yaw1 nga5	
优雅	yaw1 nga5	
优渥	yaw1 ngak1	
忧心	yaw1 samp1	担心，操心
忧心忡忡	yaw1 samp1 conk1 conk1	
忧心如焚	yaw1 samp1 yeu4 fant4	
优生	yaw1 sank1	
优生学	yaw1 sank1 hog6	
优秀	yaw1 saw3	
优秀学生	yaw1 saw3 hog6 sang1	
忧愁	yaw1 saw4	
优势	yaw1 say3	
休息	yaw1 sek1	
优胜	yaw1 senk3	
优胜队	yaw1 senk3 doy6	
优胜者	yaw1 senk3 je2	
优胜奖	yaw1 senk3 jeong2	
优胜劣败	yaw1 senk3 leud3 bai6	
忧伤	yaw1 seong1	
幽思	yaw1 si1	
优先	yaw1 sin1	
优先发展	yaw1 sin1 fad3 jin2	
优先股	yaw1 sin1 gu2	
优先权	yaw1 sin1 keun4	
忧患	yaw1 wan6	
忧患意识	yaw1 wan6 yi3 sek1	
幽魂	yaw1 want4	
幽魂不散	yaw1 want4 bat1 san3	
忧郁	yaw1 wat1	
忧郁症	yaw1 wat1 jenk3	
优惠	yaw1 way6	
优惠待遇	yaw1 way6 doi6 yeu6	
优惠价	yaw1 way6 ga3	
优惠价格	yaw1 way6 ga3 gag3	
优惠关税	yaw1 way6 guan1 soy3	
幽会	yaw1 wui6	
蚯蚓	yaw1 yant5	
幽幽	yaw1 yaw1	
优游	yaw1 yaw4	
优游自在	yaw1 yaw4 ji6 joi6	
忧形于色	yaw1 yenk4 yeu1 sek1	
优裕	yaw1 yeu6	
优越	yaw1 yeud6	
优越感	yaw1 yeud6 gamp2	
优越性	yaw1 yeud6 senk3	
优异	yaw1 yi6	
优异性	yaw1 yi6 senk3	
忧容	yaw1 yonk4	
友	yaw2	家伙
友	yaw2	朋友
由	yaw2	任由，随便
由得	yaw2 dak1	任由，随便
由得佢喇	yaw2 dak1 koy5 la3	随他便吧，算了吧
由得你	yaw2 dak1 ney5	随你便
黝黑	yaw2 hak1	
友仔	yaw2 jay2	小子
由佢喇	yaw2 koy5 la3	随他便吧，算了吧
幼	yaw3	细
幼子	yaw3 ji2	
幼稚	yaw3 ji6	
幼稚园	yaw3 ji6 yeun2	幼儿园，幼稚园
幼冷	yaw3 lang1	细毛线
幼年	yaw3 nin4	
幼女	yaw3 noy5	
幼沙	yaw3 sa1	细沙
幼细	yaw3 say3	细，精细
幼小	yaw3 siu2	
幼童	yaw3 tonk4	
幼滑	yaw3 wad6	细滑，手感润滑
幼儿	yaw3 yi4	
由	yaw4	从
油	yaw4	上油，上漆，漆，刷
由不得	yaw4 bat1 dak1	
游必有方	yaw4 bid1 yaw5 fong1	
游伴	yaw4 bun6	
邮差	yaw4 cai1	
油漆	yaw4 cat1	
游车河	yaw4 ce1 ho2	乘车游览，兜风
由奢入俭难	yaw4 ce1 yap6 gim6 nan4	
邮戳	yaw4 ceog3	
由此	yaw4 ci2	
由此可见	yaw4 ci2 ho2 gin3	
由此可知	yaw4 ci2 ho2 ji1	
由浅入深	yaw4 cin2 yap6 samp1	
揉搓	yaw4 co1	
由得你…都得	yaw4 dak1 ney5 dow1 dak1	随便你…都行
游荡	yaw4 dong6	
游动	yaw4 donk6	
柔道	yaw4 dow6	
游埠	yaw4 faw6	出国旅游观光
油灰水	yaw4 fui1 soy2	刷墙，刷石灰水
髹灰水	yaw4 fui1 soy2	刷墙
游街	yaw4 gai1	
游街示众	yaw4 gai1 si6 jonk3	
由简而繁	yaw4 gan2 yi4 fan4	
由近而远	yaw4 gant6 yi4 yeun5	
悠久	yaw4 gaw2	
游击	yaw4 gek1	
游击	yaw4 gek1	
游击队	yaw4 gek1 doy6	
游击战	yaw4 gek1 jin3	
游击战	yaw4 gek1 jin3	
由俭入奢易	yaw4 gim6 yap6 ce1 yi6	
由俭入奢易由奢入俭难	yaw4 gim6 yap6 ce1 yi6 yaw4 ce1 yap6 gim6 nan4	
邮局	yaw4 gok6	
攸关	yaw4 guan1	
游侠	yaw4 hab6	
游客	yaw4 hag3	
游行	yaw4 hank4	
游行示威	yaw4 hank4 si6 way1	
游兴	yaw4 henk3	
游兴正浓	yaw4 henk3 jenk3 nonk4	
游戏	yaw4 hey3	
油器	yaw4 hey3	油炸食物
游戏规则	yaw4 hey3 kuay1 jak1	
游戏人间	yaw4 hey3 yant4 gan1	
游学	yaw4 hog6	
游学生	yaw4 hog6 sang1	
油腔滑调	yaw4 hong1 wad6 diu6	
油炸鬼	yaw4 ja3 guay2	油条
游走	yaw4 jaw2	
油渍	yaw4 jek1	油的污迹
油井	yaw4 jenk2	
酋长	yaw4 jeong2	
疣猪	yaw4 jeu1	
游资	yaw4 ji1	
游子	yaw4 ji2	
悠哉	yaw4 joi1	
悠哉悠哉	yaw4 joi1 yaw4 joi1	
由衷	yaw4 jonk1	
邮购	yaw4 kaw3	
尤其	yaw4 key4	
游逛	yaw4 kuang3	
游览	yaw4 lam4	
游览车	yaw4 lam4 ce1	
游离	yaw4 ley4	
游猎	yaw4 lib6	
游乐场	yaw4 log6 ceong4	
游乐园	yaw4 log6 yeun4	
由来	yaw4 loi4	
由来已久	yaw4 loi4 yi5 gaw2	
蹂躏	yaw4 lont6	
游民	yaw4 mant4	
尤物	yaw4 mat6	
游牧	yaw4 mok6	
游牧民族	yaw4 mok6 mant4 jok6	
油淰淰	yaw4 namp6 namp6	油腻腻，油汪汪，油乎乎
油腻	yaw4 ney6	
游艺	yaw4 ngay6	
揉捏	yaw4 nib6	
邮票	yaw4 piu3	
油铺	yaw4 pow2	杂货店
游山玩水	yaw4 san1 wun6 soy2	
游手好闲	yaw4 saw2 how3 han4	
由细到大	yaw4 say3 dow3 dai6	从小到大
由上而下	yaw4 seong6 yi4 ha6	
游船	yaw4 seun4	
游船河	yaw4 seun4 ho2	坐船游览，游玩
游丝	yaw4 si1	
游水	yaw4 soy2	游泳
游水池	yaw4 soy2 ci4	游泳池
游说	yaw4 soy3	
犹太	yaw4 tai3	
游艇	yaw4 teng5	
由天而降	yaw4 tin1 yi4 gong3	
油田	yaw4 tin4	
邮筒	yaw4 tonk2	
油桐油	yaw4 tonk4 yaw4	上桐油，漆桐油
游魂	yaw4 want4	
游泳	yaw4 wenk6	
游泳池	yaw4 wenk6 ci4	
柔和	yaw4 wo4	
游玩	yaw4 wun6	
游人	yaw4 yant4	
游刃有余	yaw4 yant6 yaw5 yeu4	
游弋	yaw4 yek6	
由于	yaw4 yeu1	
鱿鱼	yaw4 yeu2	枪乌贼，柔鱼，鱿鱼
犹如	yaw4 yeu4	
犹豫	yaw4 yeu6	
游园会	yaw4 yeun4 wui2	
柔软	yaw4 yeun5	
有把炮	yaw5 ba2 pau3	有把握
有备无患	yaw5 bey6 mow4 wan6	
有备而来	yaw5 bey6 yi4 loi4	
有宝	yaw5 bow2	自以为了不起
有情人终成眷属	yaw5 cenk4 yant4 jonk1 senk4 geun3 sok6	
有辙	yaw5 cid3	
有钱	yaw5 cin2	
有钱能使鬼推磨	yaw5 cin4 nank4 si2 guay2 toy1 mo4	
有出息	yaw5 cot1 sek1	
有趣	yaw5 coy3	
有得你睇	yaw5 dak1 ney5 tay2	有你瞧的
有得饮	yaw5 dak1 yamp2	有人请客
有突	yaw5 dat6	有余
有的放矢	yaw5 dek1 fong3 ci2	
有埞	yaw5 deng6	有空间，有地方
有埞坐	yaw5 deng6 co5	有地方坐
有啲	yaw5 di1	有点，有一点
有啲震	yaw5 di1 jant3	有点发抖
有啲阻滞	yaw5 di1 jo2 jay6	有点困难，有点阻碍
有啲时	yaw5 di1 si4	有时候
有啲烧	yaw5 di1 siu1	有点发烧
有道理	yaw5 dow6 ley5	
有风驶尽艃	yaw5 fonk1 say2 jont6 ley5	得理不饶人，做事不留余地
有夫之妇	yaw5 fu1 ji1 fu5	
有妇之夫	yaw5 fu5 ji1 fu1	
有鉴于	yaw5 gam3 yeu1	
有鉴于此	yaw5 gam3 yeu1 ci2	
有金执咩	yaw5 gamp1 jap1 me1	那有金子吗？
有咁啱得咁跷	yaw5 gamp3 ngam1 dak1 gamp3 kiu2	这么巧呀，说多巧有多巧
有计	yaw5 gay2	有办法
有惊无险	yaw5 genk1 mow4 him2	
有机	yaw5 gey1	
有机化学	yaw5 gey1 fa3 hog6	
有机化合物	yaw5 gey1 fa3 hog6 mat6	
有机肥料	yaw5 gey1 fey4 liu6	
有机可乘	yaw5 gey1 ho2 senk4	
有几度散手	yaw5 gey2 dow6 san2 saw2	有点儿本事
诱供	yaw5 gonk1	
有故讲咯	yaw5 gu2 gong2 log3	说来话长
有关	yaw5 guan1	
有关方面	yaw5 guan1 fong1 min6	
有关于	yaw5 guan1 yeu1	
有隙可乘	yaw5 guek1 ho2 senk4	
有闲	yaw5 han4	
有限	yaw5 han6	
有限公司	yaw5 han6 gonk1 si1	
有效	yaw5 hau6	
有口齿	yaw5 haw2 ci2	有信用，说话算数
有口皆碑	yaw5 haw2 gai1 bey1	
有口无心	yaw5 haw2 mow4 samp1	
有口难言	yaw5 haw2 nan4 yin4	
有气无力	yaw5 hey3 mow4 lek6	
有何不可	yaw5 ho4 bat1 ho4	
有何指教	yaw5 ho4 ji2 gau3	
有空	yaw5 honk1	
有揸拿	yaw5 ja1 na4	有把握，十拿九稳
有站慢	yaw5 jam6 man6	有下车的，有人下车，下一站请停车
有增无减	yaw5 jank1 mow4 gam2	
有着数	yaw5 jeog6 sow3	有便宜可占，有好处
有之	yaw5 ji1	可能，有可能
有志者事竟成	yaw5 ji3 je2 si6 genk2 senk4	
有咗	yaw5 jo2	怀孕了
有助	yaw5 jo6	
有求必应	yaw5 kaw4 bid1 yenk3	
有求于人	yaw5 kaw4 yeu1 yant4	
有权有势	yaw5 keun4 yaw5 say3	
有其父必有其子	yaw5 key4 fu6 bid1 yaw5 key4 ji2	
有例可循	yaw5 lay6 ho2 cont4	
有例在先	yaw5 lay6 joi6 sin1	
有力	yaw5 lek6	
有两度	yaw5 leong5 dow6	有两下子，有本领，有办法
有两度散手	yaw5 leong5 dow6 san2 saw2	有两下子
有两手	yaw5 leong5 saw2	有两下子，有本事
有理走遍天下	yaw5 ley5 jaw2 pin3 tin1 ha6	
