开放粤语词典（粤语拼音字数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［粤语拼音］	［国语解释］
白话文学	bag6 wa2 mant4 hog6	
白云	bag6 want4	
白日梦	bag6 yat6 monk6	
白油	bag6 yaw2	酱油
白杨	bag6 yeong4	
白杨树	bag6 yeong4 seu6	
白衣天使	bag6 yi1 tin1 si3	
白热	bag6 yid6	
白热化	bag6 yid6 fa3	
白玉	bag6 yok6	
白肉	bag6 yok6	
拜拜	bai1 bai3	再见，拜拜
摆	bai2	摆放
摆设	bai2 cid3	
摆档	bai2 dong2	摆摊子
摆档口	bai2 dong2 haw2	摆摊子
摆放	bai2 fong3	
摆供	bai2 gonk3	
摆酒	bai2 jaw2	摆酒席，办酒席
摆甫士	bai2 pow1 si2	摆姿势
摆脱	bai2 teud3	
摆乌龙	bai2 wu1 lonk2	弄错，搞误会
拜把	bai3 ba2	
拜把兄弟	bai3 ba2 henk1 day6	
拜读	bai3 dok6	
拜倒	bai3 dow2	
拜倒石榴裙之下	bai3 dow2 seg6 law4 kuant4 ji1 ha6	
拜佛	bai3 fat1	
拜火教	bai3 fo2 gau3	
拜访	bai3 fong2	
拜金	bai3 gamp1	
拜金主义	bai3 gamp1 jeu2 yi6	
拜见	bai3 gin3	
拜祭	bai3 jay3	
拜袓先	bai3 jow2 sin1	
拜老师	bai3 low5 si1	
拜庙	bai3 miu6	
拜偶像	bai3 ngaw5 jeong6	
拜年	bai3 nin4	
拜票	bai3 piu3	
拜山	bai3 san1	上坟，扫墓
拜神	bai3 sant4	
拜师	bai3 si1	
拜师学艺	bai3 si1 hog6 ngay6	
拜天地	bai3 tin1 dey6	
拜托	bai3 tog3	
拜揖	bai3 yap1	
败北	bai6 bak1	
败家	bai6 ga1	
败家仔	bai6 ga1 jay2	败家子
败家精	bai6 ga1 jenk1	败家子
败军	bai6 guant1	
败兴	bai6 henk3	
败兴而归	bai6 henk3 yi4 guay1	
败血病	bai6 heud3 benk6	
败血症	bai6 heud3 jenk3	
败阵	bai6 jant6	
败者为寇	bai6 je2 way4 kaw3	
败将	bai6 jeong3	
败仗	bai6 jeong3	
败落	bai6 log6	
败类	bai6 loy6	
败事有余	bai6 si6 yaw5 yeu4	
败诉	bai6 sow3	
败絮	bai6 soy5	
败絮其中	bai6 soy5 key4 jonk1	
败退	bai6 toy3	
败坏	bai6 wai6	
败胃	bai6 way6	
北便	bak1 bin6	北边
北部	bak1 bow6	
北斗星	bak1 daw2 senk1	
北方	bak1 fong1	
北极	bak1 gek6	
北极熊	bak1 gek6 honk4	
北芪	bak1 key4	黄芪
北佬	bak1 low2	北方人
泵把	bamp1 ba2	保险杆
泵车	bamp1 ce1	抽水车，消防车
泵气	bamp1 hey3	打气
泵水	bamp1 soy2	抽水
班	ban1	纠合，纠集，拉队伍，纠集同伙
班	ban1	群，伙
班兵	ban1 benk1	请援兵，请人帮忙，请求援助，搬兵
班车	ban1 ce1	
班次	ban1 ci3	
班底	ban1 day2	
班代表	ban1 doi6 biu2	
班房	ban1 fong2	教室，课室
斑鸠	ban1 gaw1	
瘢痕	ban1 hant4	
颁奖	ban1 jeong2	
班长	ban1 jeong2	
颁奖典礼	ban1 jeong2 din2 lay5	
颁奖礼	ban1 jeong2 lay2	
班主任	ban1 jeu2 yamp6	
班戟	ban1 kek1	薄煎饼，薄烤饼，热香饼
斑斓	ban1 lan4	
斑马	ban1 ma5	
班马	ban1 ma5	搬救兵，召集党徒，召集羽翼
班门弄斧	ban1 mun4 lonk6 fu2	
班师	ban1 si1	
