开放粤语字典（教院拼音版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［教院拼音］
翱	翱	ngou4
鳌	鰲	ngou4
熬	熬	ngou4/ngau4
遨	遨	ngou4/ngou6
傲	傲	ngou6
昵	暱	nik7
匿	匿	nik7
溺	溺	nik7/nik9
拈	拈	nim1
黏	黏	nim1/dzim1
粘	粘	nim1/dzim1
捻	捻	nim2
鲇	鯰	nim4
念	念	nim6
廿	廿	nim6
念	唸	nim6
年	年	nin4
碾	碾	nin5
宁	寧	ning4
狞	獰	ning4
柠	檸	ning4
咛	嚀	ning4
佞	佞	ning6
拧	擰	ning6
泞	濘	ning6
镍	鎳	nip7
颞	顳	nip9
镊	鑷	nip9
涅	涅	nip9
蹑	躡	nip9
捏	捏	nip9
陧	隉	nip9
聂	聶	nip9
袅	裊	niu5
鸟	鳥	niu5
尿	尿	niu6
溺	溺	niu6
挪	挪	no4
挼	挼	no4
糯	糯	no6
懦	懦	no6
娘	娘	noeng4
讷	訥	noet9/naap9
钕	釹	noey5
馁	餒	noey5
女	女	noey5/loey5
奈	奈	noi6
耐	耐	noi6
内	內	noi6
诺	諾	nok9
瓤	瓤	nong4
囊	囊	nong4
囔	囔	nong4
馕	饢	nong4
馕	饢	nong5
齉	齉	nong6
奴	奴	nou4
恼	惱	nou5
脑	腦	nou5
弩	弩	nou5
瑙	瑙	nou5
努	努	nou5/lou5
怒	怒	nou6
忸	忸	nuk9/nau2
浓	濃	nung4
侬	儂	nung4
农	農	nung4
脓	膿	nung4
暖	暖	nyn5
嫩	嫩	nyn6
珂	珂	o1
柯	柯	o1
阿	阿	o1
婀	婀	o1
轲	軻	o1
喔	喔	o1
噢	噢	o1
哦	哦	o4
哦	哦	o6
埃	埃	oi1
哀	哀	oi1
暧	曖	oi2
毐	毐	oi2
叆	靉	oi2
蔼	藹	oi2
爱	愛	oi3
瑷	璦	oi3
恶	惡	ok8
恶	噁	ok8
垩	堊	ok8
铵	銨	on1
桉	桉	on1
胺	胺	on1
安	安	on1
鞍	鞍	on1
氨	氨	on1
按	按	on3
案	案	on3
摁	摁	on3
媪	媼	ou2
趴	趴	paa1
怕	怕	paa3
琶	琶	paa4
爬	爬	paa4
杷	杷	paa4
扒	扒	paa4
耙	耙	paa4
哌	哌	paai3
派	派	paai3
湃	湃	paai3/baai3
牌	牌	paai4
排	排	paai4
俳	俳	paai4
啪	啪	paak7
珀	珀	paak8
魄	魄	paak8
拍	拍	paak8
帕	帕	paak8
柏	柏	paak8
攀	攀	paan1
扳	扳	paan1
盼	盼	paan3
袢	袢	paan3
澎	澎	paang1
烹	烹	paang1
棚	棚	paang4
彭	彭	paang4
鹏	鵬	paang4
硼	硼	paang4
膨	膨	paang4
澎	澎	paang4
棒	棒	paang5
抛	拋	paau1
脬	脬	paau1
泡	泡	paau1
跑	跑	paau2
炮	炮	paau3
豹	豹	paau3
疱	疱	paau3
泡	泡	paau3
庖	庖	paau4
咆	咆	paau4
匏	匏	paau4
狍	麅	paau4
刨	刨	paau4
批	批	pai1
睥	睥	pai5
喷	噴	pan3
嫔	嬪	pan4
贫	貧	pan4
频	頻	pan4
颦	顰	pan4
牝	牝	pan5
朋	朋	pang4
凭	憑	pang4
匹	匹	pat7
疋	疋	pat7
剖	剖	pau2
抔	抔	pau4
狉	狉	pei1
呸	呸	pei1
丕	丕	pei1
纰	紕	pei1
披	披	pei1
鄙	鄙	pei2
痞	痞	pei2
仳	仳	pei2
吡	吡	pei2
否	否	pei2
圮	圮	pei2
譬	譬	pei3
濞	濞	pei3
屁	屁	pei3
媲	媲	pei3/bei2
疲	疲	pei4
貔	貔	pei4
毗	毗	pei4
邳	邳	pei4
琵	琵	pei4
脾	脾	pei4
枇	枇	pei4
皮	皮	pei4
蜱	蜱	pei4
郫	郫	pei4
婢	婢	pei5
被	被	pei5
劈	劈	pek8
辟	辟	pik7
辟	闢	pik7
癖	癖	pik7
霹	霹	pik7
僻	僻	pik7
扁	扁	pin1
篇	篇	pin1
偏	偏	pin1
翩	翩	pin1
编	編	pin1
蝙	蝙	pin1/bin1
片	片	pin2
片	片	pin2
骗	騙	pin3
片	片	pin3
遍	遍	pin3
骈	駢	pin4
便	便	pin4
姘	姘	ping1
砰	砰	ping1
怦	怦	ping1
娉	娉	ping1
抨	抨	ping1
拼	拼	ping1/ping3
聘	聘	ping3
屏	屏	ping4
坪	坪	ping4
苹	蘋	ping4
平	平	ping4
萍	萍	ping4
瓶	瓶	ping4
评	評	ping4
撇	撇	pit8
瞥	瞥	pit8
缥	縹	piu1
嘌	嘌	piu1
漂	漂	piu1
飘	飄	piu1
漂	漂	piu3
票	票	piu3
剽	剽	piu3/piu5
嫖	嫖	piu4
瓢	瓢	piu4
朴	朴	piu4
瞟	瞟	piu5
鳔	鰾	piu5
颇	頗	po1
坡	坡	po1/bo1
棵	棵	po1/fo2
颇	頗	po2
笸	笸	po2
叵	叵	po2
破	破	po3
婆	婆	po4
鄱	鄱	po4/bo3
钋	釙	pok8
璞	璞	pok8
朴	樸	pok8
噗	噗	pok8
扑	撲	pok8
粕	粕	pok8/paak8
谤	謗	pong3
磅	磅	pong4
膀	膀	pong4
彷	彷	pong4
庞	龐	pong4
螃	螃	pong4
滂	滂	pong4
旁	旁	pong4
蚌	蚌	pong5
铺	鋪	pou1
谱	譜	pou2
溥	溥	pou2
浦	浦	pou2
普	普	pou2
脯	脯	pou2/fu2
铺	舖	pou3
莆	莆	pou4
蒲	蒲	pou4
菩	菩	pou4
葡	葡	pou4
脯	脯	pou4
袍	袍	pou4
匍	匍	pou4
泡	泡	pou5
抱	抱	pou5
坯	坯	pui1
胚	胚	pui1
佩	佩	pui3
珮	珮	pui3
配	配	pui3
沛	沛	pui3
霈	霈	pui3
陪	陪	pui4
培	培	pui4
赔	賠	pui4
裴	裴	pui4
徘	徘	pui4
倍	倍	pui5
蓓	蓓	pui5/pui4
仆	仆	puk7
番	番	pun1
潘	潘	pun1
拚	拚	pun3
判	判	pun3
槃	槃	pun4
蟠	蟠	pun4
盘	盤	pun4
盆	盆	pun4
磐	磐	pun4
蹒	蹣	pun4/mun4
捧	捧	pung2/bung2
碰	碰	pung3
芃	芃	pung4
篷	篷	pung4
蓬	蓬	pung4/fung4
泼	潑	put8
纱	紗	saa1
鲨	鯊	saa1
啥	啥	saa1
痧	痧	saa1
沙	沙	saa1
砂	砂	saa1
卅	卅	saa1
裟	裟	saa1
莎	莎	saa1
洒	灑	saa2
耍	耍	saa2
玺	璽	saai2
徙	徙	saai2
晒	曬	saai3
索	索	saak8/sok8
仨	仨	saam1
三	三	saam1
叁	叄	saam1
衫	衫	saam1
三	三	saam3
栓	栓	saan1
珊	珊	saan1
跚	跚	saan1
姗	姍	saan1
闩	閂	saan1
拴	拴	saan1
舢	舢	saan1
潸	潸	saan1
删	刪	saan1
山	山	saan1
散	散	saan2
汕	汕	saan3
篡	篡	saan3
讪	訕	saan3
伞	傘	saan3
疝	疝	saan3
散	散	saan3
涮	涮	saan3
潺	潺	saan4
孱	孱	saan4
牲	牲	saang1
甥	甥	saang1
省	省	saang2
飒	颯	saap8
圾	圾	saap8
铩	鎩	saat8
萨	薩	saat8
煞	煞	saat8
杀	殺	saat8
撒	撒	saat8
刹	剎	saat8
梢	梢	saau1
捎	捎	saau1
稍	稍	saau2
哨	哨	saau3
犀	犀	sai1
嘶	嘶	sai1
硒	硒	sai1
西	西	sai1
舾	舾	sai1
筛	篩	sai1
使	使	sai2
洗	洗	sai2
驶	駛	sai2
婿	婿	sai3
世	世	sai3
细	細	sai3
势	勢	sai3
舐	舐	sai5/sai2
逝	逝	sai6
誓	誓	sai6
筮	筮	sai6
噬	噬	sai6
噻	噻	sak7
塞	塞	sak7
参	參	sam1
琛	琛	sam1
心	心	sam1
芯	芯	sam1
郴	郴	sam1
森	森	sam1
深	深	sam1
婶	嬸	sam2
审	審	sam2
沈	瀋	sam2
沈	沈	sam2
沁	沁	sam3
渗	滲	sam3
梣	梣	sam4
岑	岑	sam4
忱	忱	sam4
涔	涔	sam4
什	什	sam6
甚	甚	sam6
葚	椹	sam6
砷	砷	san1
莘	莘	san1
呻	呻	san1
伸	伸	san1
新	新	san1
薪	薪	san1
燊	燊	san1
身	身	san1
申	申	san1
绅	紳	san1
辛	辛	san1
锌	鋅	san1
娠	娠	san1
辰	辰	san4
神	神	san4
臣	臣	san4
晨	晨	san4
肾	腎	san5
慎	慎	san6
蜃	蜃	san6/san5
笙	笙	sang1
生	生	sang1/saang1
擤	擤	sang3
蹭	蹭	sang3
湿	濕	sap7
涩	澀	sap7/sik7/gip8
霎	霎	sap8
拾	拾	sap9
十	十	sap9
瑟	瑟	sat7
虱	蝨	sat7
室	室	sat7
膝	膝	sat7
失	失	sat7
实	實	sat9
收	收	sau1
修	修	sau1
羞	羞	sau1
馊	餿	sau1
螋	螋	sau1
嗖	嗖	sau1
飕	颼	sau1
搜	搜	sau1/sau2
嗾	嗾	sau2
首	首	sau2
手	手	sau2
擞	擻	sau2
守	守	sau2
搜	搜	sau2
艘	艘	sau2/sau1
秀	秀	sau3
宿	宿	sau3
兽	獸	sau3
狩	狩	sau3
嗽	嗽	sau3
瘦	瘦	sau3
绣	繡	sau3
漱	漱	sau3
琇	琇	sau3
锈	鏽	sau3
仇	仇	sau4
愁	愁	sau4
绶	綬	sau6
授	授	sau6
受	受	sau6
寿	壽	sau6
售	售	sau6
些	些	se1
舍	捨	se2
写	寫	se2
猞	猞	se3
泻	瀉	se3
赦	赦	se3
舍	舍	se3
卸	卸	se3
畲	畲	se4
蛇	蛇	se4
社	社	se5
射	射	se6
麝	麝	se6
死	死	sei2
四	四	sei3
锡	錫	sek8
硕	碩	sek9
石	石	sek9
司	司	si1
施	施	si1
私	私	si1
丝	絲	si1
师	師	si1
狮	獅	si1
诗	詩	si1
尸	尸	si1
撕	撕	si1
厮	廝	si1
尸	屍	si1
思	思	si1
斯	斯	si1
蓍	蓍	si1
史	史	si2
屎	屎	si2
使	使	si2
驷	駟	si3
肆	肆	si3
弑	弒	si3
试	試	si3
谥	諡	si3
嗜	嗜	si3
使	使	si3
泗	泗	si3
时	時	si4
鲥	鰣	si4
匙	匙	si4
莳	蒔	si4
市	市	si5
侍	侍	si6
豉	豉	si6
仕	仕	si6
士	士	si6
事	事	si6
是	是	si6
伺	伺	si6
视	視	si6
示	示	si6
氏	氏	si6
皙	皙	sik7
式	式	sik7
饰	飾	sik7
晰	晰	sik7
析	析	sik7
色	色	sik7
适	適	sik7
媳	媳	sik7
啬	嗇	sik7
释	釋	sik7
淅	淅	sik7
蟋	蟋	sik7
悉	悉	sik7
螫	螫	sik7
熄	熄	sik7
轼	軾	sik7
昔	昔	sik7
息	息	sik7
拭	拭	sik7
蜥	蜥	sik7
识	識	sik7
惜	惜	sik7
铯	銫	sik7
蚀	蝕	sik9
食	食	sik9
陕	陝	sim2
闪	閃	sim2
单	單	sim4
禅	禪	sim4
蟾	蟾	sim4
赡	贍	sim6
仙	仙	sin1
鲜	鮮	sin1
先	先	sin1
酰	酰	sin1
氙	氙	sin1/saan1
癣	癬	sin2
鲜	鮮	sin2
跣	跣	sin2
冼	冼	sin2
煽	煽	sin3
骟	騸	sin3
腺	腺	sin3
霰	霰	sin3
扇	扇	sin3
线	線	sin3
蝉	蟬	sin4
鳝	鱔	sin5
膳	膳	sin6
羡	羨	sin6
善	善	sin6
单	單	sin6
缮	繕	sin6
擅	擅	sin6
嬗	嬗	sin6
倩	倩	sin6
鄯	鄯	sin6
禅	禪	sin6
掸	撣	sin6
茜	茜	sin6/sai1
升	陞	sing1
惺	惺	sing1
猩	猩	sing1
星	星	sing1
升	升	sing1
升	昇	sing1
胜	勝	sing1
腥	腥	sing1/seng1
声	聲	sing1/seng1
省	省	sing2
醒	醒	sing2/seng2
姓	姓	sing3
胜	勝	sing3
性	性	sing3
圣	聖	sing3
乘	乘	sing4
承	承	sing4
城	城	sing4
丞	丞	sing4
盛	盛	sing4
绳	繩	sing4
诚	誠	sing4
渑	澠	sing4
成	成	sing4
剩	剩	sing6
嵊	嵊	sing6
盛	盛	sing6
歙	歙	sip8
涉	涉	sip8
摄	攝	sip8
慑	懾	sip8/dzip8
亵	褻	sit8
绁	絏	sit8
薛	薛	sit8
屑	屑	sit8
泄	洩	sit8
舌	舌	sit8
楔	楔	sit8
窃	竊	sit8
揳	揳	sit8/sip8
硝	硝	siu1
箫	簫	siu1
逍	逍	siu1
烧	燒	siu1
魈	魈	siu1
宵	宵	siu1
消	消	siu1
霄	霄	siu1
潇	瀟	siu1
韶	韶	siu1
销	銷	siu1
萧	蕭	siu1
筱	筱	siu2
小	小	siu2
少	少	siu2
笑	笑	siu3
少	少	siu3
啸	嘯	siu3
绍	紹	siu6
邵	邵	siu6
兆	兆	siu6
肇	肇	siu6
劭	劭	siu6
唆	唆	so1
嗦	嗦	so1
蔬	蔬	so1
疏	疏	so1
蓑	蓑	so1
梳	梳	so1
梭	梭	so1
羧	羧	so1
唢	嗩	so2
锁	鎖	so2
琐	瑣	so2
所	所	so2
傻	傻	so4
铄	鑠	soek8
削	削	soek8
烁	爍	soek8
荀	荀	soen1
峋	峋	soen1
殉	殉	soen1
询	詢	soen1
芯	芯	soen1
笋	筍	soen2
榫	榫	soen2
逊	遜	soen3
浚	浚	soen3
讯	訊	soen3
信	信	soen3
舜	舜	soen3
瞬	瞬	soen3
汛	汛	soen3
巽	巽	soen3
迅	迅	soen3
囟	囟	soen3/soen2
唇	脣	soen4
纯	純	soen4
醇	醇	soen4
淳	淳	soen4
鹑	鶉	soen4/tsoen1
顺	順	soen6
镶	鑲	soeng1
襄	襄	soeng1
相	相	soeng1
霜	霜	soeng1
双	雙	soeng1
厢	廂	soeng1
商	商	soeng1
伤	傷	soeng1
孀	孀	soeng1
殇	殤	soeng1
湘	湘	soeng1
箱	箱	soeng1
鹴	鸘	soeng1
觞	觴	soeng1
鲞	鯗	soeng2
赏	賞	soeng2
想	想	soeng2
相	相	soeng3
嫦	嫦	soeng4
常	常	soeng4
偿	償	soeng4
裳	裳	soeng4
徜	徜	soeng4
尝	嘗	soeng4
尝	嚐	soeng4
上	上	soeng5
尚	尚	soeng6
上	上	soeng6
恤	恤	soet7
摔	摔	soet7
戌	戌	soet7
率	率	soet7
蟀	蟀	soet7
术	術	soet9
述	述	soet9
沭	沭	soet9
胥	胥	soey1
虽	雖	soey1
睢	睢	soey1
须	須	soey1
荽	荽	soey1
绥	綏	soey1
濉	濉	soey1
需	需	soey1
衰	衰	soey1
水	水	soey2
说	說	soey3
碎	碎	soey3
税	稅	soey3
帅	帥	soey3
岁	歲	soey3
谁	誰	soey4
垂	垂	soey4
绪	緒	soey5
髓	髓	soey5
墅	墅	soey5
絮	絮	soey5/soey6
隧	隧	soey6
祟	祟	soey6
穗	穗	soey6
瑞	瑞	soey6
燧	燧	soey6
萃	萃	soey6
邃	邃	soey6
粹	粹	soey6
悴	悴	soey6
遂	遂	soey6
睡	睡	soey6
瘁	瘁	soey6/soey5
鳃	鰓	soi1
腮	腮	soi1
说	說	sok8
索	索	sok8
朔	朔	sok8
丧	喪	song1
桑	桑	song1
嗓	嗓	song2
搡	搡	song2
爽	爽	song2
丧	喪	song3
酥	酥	sou1
须	鬚	sou1
苏	囌	sou1
臊	臊	sou1
骚	騷	sou1
苏	蘇	sou1
搔	搔	sou1
甦	甦	sou1
稣	穌	sou1
数	數	sou2
嫂	嫂	sou2
塑	塑	sou3
扫	掃	sou3
臊	臊	sou3
素	素	sou3
诉	訴	sou3
溯	溯	sou3
数	數	sou3
愫	愫	sou3
鹔	鷫	suk7
粟	粟	suk7
叔	叔	suk7
肃	肅	suk7
倏	倏	suk7
蓿	蓿	suk7
宿	宿	suk7
夙	夙	suk7
僳	僳	suk7
缩	縮	suk7
赎	贖	suk9
塾	塾	suk9
淑	淑	suk9
属	屬	suk9
熟	熟	suk9
蜀	蜀	suk9
菽	菽	suk9
孰	孰	suk9
从	從	sung1
淞	淞	sung1
嵩	嵩	sung1
松	鬆	sung1
忪	忪	sung1
耸	聳	sung2
竦	竦	sung2
怂	慫	sung2
悚	悚	sung2
宋	宋	sung3
送	送	sung3
崇	崇	sung4
抒	抒	sy1
舒	舒	sy1
书	書	sy1
枢	樞	sy1
输	輸	sy1
纾	紓	sy1
黍	黍	sy2
暑	暑	sy2
鼠	鼠	sy2
恕	恕	sy3
戍	戍	sy3
庶	庶	sy3
薯	薯	sy4
殊	殊	sy4
竖	豎	sy6
树	樹	sy6
孙	孫	syn1
狲	猻	syn1
宣	宣	syn1
荪	蓀	syn1
狻	狻	syn1
瑄	瑄	syn1
飧	飧	syn1
悛	悛	syn1
酸	酸	syn1
选	選	syn2
损	損	syn2
蒜	蒜	syn3
算	算	syn3
渲	渲	syn3/hyn1
旋	旋	syn4
船	船	syn4
漩	漩	syn4
璇	璇	syn4
吮	吮	syn5
隽	雋	syn5
篆	篆	syn6
鳕	鱈	syt8
雪	雪	syt8
说	說	syt8
它	牠	taa1
铊	鉈	taa1
它	它	taa1
他	他	taa1
他	祂	taa1
她	她	taa1
太	太	taai3
肽	肽	taai3
泰	泰	taai3
傣	傣	taai3
钛	鈦	taai3
贷	貸	taai3
汰	汰	taai3
态	態	taai3
贪	貪	taam1
毯	毯	taam2
探	探	taam3
坛	罈	taam3
覃	覃	taam4
昙	曇	taam4
澹	澹	taam4
痰	痰	taam4
潭	潭	taam4
谭	譚	taam4
郯	郯	taam4
谈	談	taam4
淡	淡	taam5
坍	坍	taan1
瘫	癱	taan1
滩	灘	taan1
摊	攤	taan1
坦	坦	taan2
袒	袒	taan2
忐	忐	taan2
钽	鉭	taan2
疸	疸	taan2
亶	亶	taan2
炭	炭	taan3
叹	歎	taan3
碳	碳	taan3
檀	檀	taan4
坛	壇	taan4
弹	彈	taan4
榻	榻	taap8
塌	塌	taap8
塔	塔	taap8
漯	漯	taap8
遢	遢	taap8/taat8
闼	闥	taat8
挞	撻	taat8
鞑	韃	taat8
趿	趿	taat8
跶	躂	taat8
梯	梯	tai1
锑	銻	tai1
体	體	tai2
涕	涕	tai3
嚏	嚏	tai3
剃	剃	tai3
屉	屜	tai3
替	替	tai3
缇	緹	tai4
堤	堤	tai4
啼	啼	tai4
醍	醍	tai4
题	題	tai4
蹄	蹄	tai4
提	提	tai4
鹈	鵜	tai4
饨	飩	tan1
吞	吞	tan1
褪	褪	tan3
滕	滕	tang4
疼	疼	tang4
誊	謄	tang4
藤	藤	tang4
腾	騰	tang4
偷	偷	tau1
透	透	tau3
头	頭	tau4
投	投	tau4
骰	骰	tau4/sik7
踢	踢	tek8
倜	倜	tik7
惕	惕	tik7
铽	鋱	tik7
忒	忒	tik7
忑	忑	tik7
剔	剔	tik7
添	添	tim1
舔	舔	tim2
甜	甜	tim4
恬	恬	tim4
天	天	tin1
腆	腆	tin2
钿	鈿	tin4
阗	闐	tin4
填	填	tin4
田	田	tin4
滇	滇	tin4/din1
钿	鈿	tin4/din6
殄	殄	tin5/tim5
烃	烴	ting1
汀	汀	ting1
厅	廳	ting1/teng1
听	聽	ting1/teng1
听	聽	ting3
亭	亭	ting4
廷	廷	ting4
婷	婷	ting4
庭	庭	ting4
停	停	ting4
霆	霆	ting4
蜓	蜓	ting4
挺	挺	ting5
铤	鋌	ting5
艇	艇	ting5/teng5
萜	萜	tip8
贴	貼	tip8
帖	帖	tip8
餮	餮	tit8
铁	鐵	tit8
挑	挑	tiu1
眺	眺	tiu3
跳	跳	tiu3
迢	迢	tiu4
龆	齠	tiu4
髫	髫	tiu4
调	調	tiu4
条	條	tiu4
笤	笤	tiu4
挑	挑	tiu5
窕	窕	tiu5
拖	拖	to1
妥	妥	to2
椭	橢	to2
唾	唾	to3/teu3
佗	佗	to4
驼	駝	to4
舵	舵	to4
驮	馱	to4
沱	沱	to4
陀	陀	to4
鸵	鴕	to4
湍	湍	toen1/dzyn1
彖	彖	toen3
盾	盾	toen5
推	推	toey1
腿	腿	toey2
退	退	toey3
蜕	蛻	toey3
颓	頹	toey4
苔	苔	toi1
胎	胎	toi1
苔	苔	toi4
台	枱	toi4
台	颱	toi4
跆	跆	toi4
薹	薹	toi4
抬	抬	toi4
台	台	toi4
托	託	tok8
橐	橐	tok8
托	托	tok8
庹	庹	tok8
拓	拓	tok8
汤	湯	tong1
淌	淌	tong2
躺	躺	tong2
倘	倘	tong2
帑	帑	tong2
傥	儻	tong2
烫	燙	tong3
蹚	蹚	tong3
熨	熨	tong3
趟	趟	tong3
幢	幢	tong4
醣	醣	tong4
螳	螳	tong4
塘	塘	tong4
膛	膛	tong4
唐	唐	tong4
棠	棠	tong4
堂	堂	tong4
溏	溏	tong4
糖	糖	tong4/tong2
搪	搪	tong4/tong5
滔	滔	tou1
叨	叨	tou1
韬	韜	tou1
饕	饕	tou1
讨	討	tou2
钍	釷	tou2
土	土	tou2
祷	禱	tou2
兔	兔	tou3
套	套	tou3
吐	吐	tou3
萄	萄	tou4
涂	塗	tou4
逃	逃	tou4
鼗	鼗	tou4
掏	掏	tou4
涂	涂	tou4
涛	濤	tou4
桃	桃	tou4
徒	徒	tou4
淘	淘	tou4
荼	荼	tou4
途	途	tou4
啕	啕	tou4
陶	陶	tou4
屠	屠	tou4
图	圖	tou4
洮	洮	tou4
梼	檮	tou4
肚	肚	tou5
叉	叉	tsaa1
差	差	tsaa1
杈	杈	tsaa3
诧	詫	tsaa3
衩	衩	tsaa3
姹	姹	tsaa3
岔	岔	tsaa3
茬	茬	tsaa4
查	查	tsaa4
茶	茶	tsaa4
搽	搽	tsaa4
槎	槎	tsaa4
碴	碴	tsaa4
垞	垞	tsaa4
钗	釵	tsaai1
猜	猜	tsaai1
揣	揣	tsaai1
搋	搋	tsaai1
差	差	tsaai1
踹	踹	tsaai2
踩	踩	tsaai2
虿	蠆	tsaai3
侪	儕	tsaai4
豺	豺	tsaai4
柴	柴	tsaai4
册	冊	tsaak8
策	策	tsaak8
栅	柵	tsaak8
拆	拆	tsaak8
贼	賊	tsaak9
鲗	鰂	tsaak9
参	參	tsaam1
掺	摻	tsaam1
搀	攙	tsaam1
惨	慘	tsaam2
忏	懺	tsaam3
杉	杉	tsaam3/saam1
馋	饞	tsaam4
惭	慚	tsaam4
谗	讒	tsaam4
蚕	蠶	tsaam4
餐	餐	tsaan1
产	產	tsaan2
铲	鏟	tsaan2
璨	璨	tsaan3
灿	燦	tsaan3
残	殘	tsaan4
瞠	瞠	tsaang1
撑	撐	tsaang1
橙	橙	tsaang4/tsaang2
锃	鋥	tsaang6
插	插	tsaap8
锸	鍤	tsaap8
刷	刷	tsaat8
擦	擦	tsaat8
察	察	tsaat8
獭	獺	tsaat8
刹	剎	tsaat8/saat8
抄	抄	tsaau1
钞	鈔	tsaau1
炒	炒	tsaau2
吵	吵	tsaau2
肏	肏	tsaau3
巢	巢	tsaau4
栖	棲	tsai1
凄	淒	tsai1
悽	悽	tsai1
妻	妻	tsai1
切	切	tsai3
砌	砌	tsai3
沏	沏	tsai3
齐	齊	tsai4
荠	薺	tsai4
测	測	tsak7
恻	惻	tsak7
侵	侵	tsam1
参	參	tsam1/tsaam1
碜	磣	tsam2
寝	寢	tsam2
谶	讖	tsam3/tsaam3
鲟	鱘	tsam4
沉	沉	tsam4
寻	尋	tsam4
荨	蕁	tsam4
嗔	嗔	tsan1
亲	親	tsan1
瞋	瞋	tsan1
诊	診	tsan2
哂	哂	tsan2
缜	縝	tsan2/dzan2
龀	齔	tsan3
衬	襯	tsan3
趁	趁	tsan3
陈	陳	tsan4
尘	塵	tsan4
曾	曾	tsang4
层	層	tsang4
缉	緝	tsap7
辑	輯	tsap7
葺	葺	tsap7
漆	漆	tsat7
七	七	tsat7
柒	柒	tsat7
秋	鞦	tsau1
楸	楸	tsau1
抽	抽	tsau1
鳅	鰍	tsau1
秋	秋	tsau1
丑	醜	tsau2
丑	丑	tsau2
嗅	嗅	tsau3
臭	臭	tsau3
糗	糗	tsau3
溴	溴	tsau3
凑	湊	tsau3
囚	囚	tsau4
惆	惆	tsau4
酬	酬	tsau4
绸	綢	tsau4
稠	稠	tsau4
畴	疇	tsau4
踌	躊	tsau4
筹	籌	tsau4
泅	泅	tsau4
遒	遒	tsau4
俦	儔	tsau4
仇	仇	tsau4
奢	奢	tse1
车	車	tse1
扯	扯	tse2
且	且	tse2
邪	邪	tse4
輋	輋	tse4
斜	斜	tse4
尺	尺	tsek8
赤	赤	tsek8
呎	呎	tsek8
螭	螭	tsi1
鸱	鴟	tsi1
笞	笞	tsi1
跐	跐	tsi1
雌	雌	tsi1
眵	眵	tsi1
哧	哧	tsi1
差	差	tsi1
痴	癡	tsi1
嗤	嗤	tsi1
疵	疵	tsi1
魑	魑	tsi1
蚩	蚩	tsi1
矢	矢	tsi2
耻	恥	tsi2
齿	齒	tsi2
始	始	tsi2
此	此	tsi2
侈	侈	tsi2
褫	褫	tsi2
跐	跐	tsi2
豕	豕	tsi2
次	次	tsi3
赐	賜	tsi3
翅	翅	tsi3
厕	廁	tsi3
帜	幟	tsi3
刺	刺	tsi3
炽	熾	tsi3
瓷	瓷	tsi4
祠	祠	tsi4
篪	篪	tsi4
驰	馳	tsi4
慈	慈	tsi4
词	詞	tsi4
磁	磁	tsi4
辞	辭	tsi4
池	池	tsi4
墀	墀	tsi4
弛	弛	tsi4
糍	糍	tsi4
持	持	tsi4
匙	匙	tsi4
迟	遲	tsi4
脐	臍	tsi4
踟	踟	tsi4
茌	茌	tsi4
恃	恃	tsi5
似	似	tsi5
柿	柿	tsi5
斥	斥	tsik7
敕	敕	tsik7
戚	戚	tsik7
叱	叱	tsik7
彳	彳	tsik7
歼	殲	tsim1
签	籤	tsim1
纤	纖	tsim1
签	簽	tsim1
谄	諂	tsim2
僭	僭	tsim3
堑	塹	tsim3
暹	暹	tsim3/tsim1
潜	潛	tsim4
迁	遷	tsin1
千	千	tsin1
千	韆	tsin1
仟	仟	tsin1
阡	阡	tsin1
浅	淺	tsin2
前	前	tsin4
缠	纏	tsin4
钱	錢	tsin4
践	踐	tsin5/dzin6
蛏	蟶	tsing1
称	稱	tsing1
氰	氰	tsing1
鲭	鯖	tsing1
清	清	tsing1
蜻	蜻	tsing1
青	青	tsing1/tseng1
拯	拯	tsing2
骋	騁	tsing2
逞	逞	tsing2
请	請	tsing2/tseng2
称	稱	tsing3
秤	秤	tsing3
称	稱	tsing3/tsang3
呈	呈	tsing4
情	情	tsing4
惩	懲	tsing4
程	程	tsing4
晴	晴	tsing4
澂	澂	tsing4
澄	澄	tsing4
埕	埕	tsing4
妾	妾	tsip8
切	切	tsit8
设	設	tsit8
撤	撤	tsit8
彻	徹	tsit8
辙	轍	tsit8
掣	掣	tsit8
澈	澈	tsit8
锹	鍬	tsiu1
超	超	tsiu1
钊	釗	tsiu1
昭	昭	tsiu1
悄	悄	tsiu2
悄	悄	tsiu2/tsiu1
俏	俏	tsiu3
峭	峭	tsiu3
鞘	鞘	tsiu3
肖	肖	tsiu3
樵	樵	tsiu4
朝	朝	tsiu4
潮	潮	tsiu4
瞧	瞧	tsiu4
憔	憔	tsiu4
搓	搓	tso1
初	初	tso1
雏	雛	tso1
磋	磋	tso1
刍	芻	tso1
楚	楚	tso2
础	礎	tso2
锉	銼	tso3
错	錯	tso3
挫	挫	tso3
锄	鋤	tso4
坐	坐	tso5
卓	卓	tsoek8
绰	綽	tsoek8
戳	戳	tsoek8
春	春	tsoen1
蠢	蠢	tsoen2
驯	馴	tsoen4
旬	旬	tsoen4
循	循	tsoen4
秦	秦	tsoen4
巡	巡	tsoen4
螓	螓	tsoen4
