開放粵語字典（劉錫祥版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［劉錫祥拼音］
頤	颐	yi4
迤	迤	yi4
儀	仪	yi4
姨	姨	yi4
宜	宜	yi4
夷	夷	yi4
疑	疑	yi4
貽	贻	yi4
兒	儿	yi4
痍	痍	yi4
洱	洱	yi5
以	以	yi5
矣	矣	yi5
爾	尔	yi5
耳	耳	yi5
已	已	yi5
擬	拟	yi5
迤	迤	yi5
議	议	yi5
邇	迩	yi5
劓	劓	yi6
義	义	yi6
肄	肄	yi6
異	异	yi6
貳	贰	yi6
二	二	yi6
易	易	yi6
億	亿	yik1
臆	臆	yik1
益	益	yik1
憶	忆	yik1
鬩	阋	yik1
抑	抑	yik1
翊	翊	yik6
蜴	蜴	yik6
弈	弈	yik6
腋	腋	yik6
翌	翌	yik6
易	易	yik6
弋	弋	yik6
掖	掖	yik6
疫	疫	yik6
譯	译	yik6
繹	绎	yik6
亦	亦	yik6
奕	奕	yik6
驛	驿	yik6
役	役	yik6
翼	翼	yik6
液	液	yik6
逆	逆	yik6/ngaak6
淹	淹	yim1
懨	恹	yim1
奄	奄	yim1
閹	阉	yim1
醃	腌	yim1/yip3
魘	魇	yim2
掩	掩	yim2
饜	餍	yim3
厭	厌	yim3
嫌	嫌	yim4
蚺	蚺	yim4
閻	阎	yim4
髯	髯	yim4
鹽	盐	yim4
炎	炎	yim4
嚴	严	yim4
閆	闫	yim4
簷	檐	yim4/sim4
染	染	yim5
冉	冉	yim5
儼	俨	yim5
苒	苒	yim5
焰	焰	yim6
驗	验	yim6
艷	艳	yim6
煙	烟	yin1
湮	湮	yin1
閼	阏	yin1
鄢	鄢	yin1
嫣	嫣	yin1
燕	燕	yin1
蔫	蔫	yin1
胭	胭	yin1
咽	咽	yin1
菸	烟	yin1
焉	焉	yin1
鼴	鼹	yin2
偃	偃	yin2
堰	堰	yin2
演	演	yin2
兗	兖	yin2
衍	衍	yin2/hin2
燕	燕	yin3
宴	宴	yin3
嚥	咽	yin3
燃	燃	yin4
言	言	yin4
然	然	yin4
賢	贤	yin4
研	研	yin4
涎	涎	yin4
舷	舷	yin4
焉	焉	yin4
延	延	yin4
弦	弦	yin4
蜒	蜒	yin4
妍	妍	yin4
筵	筵	yin4
莧	苋	yin6
硯	砚	yin6
現	现	yin6
彥	彦	yin6
讞	谳	yin6
諺	谚	yin6
唁	唁	yin6
膺	膺	ying1
纓	缨	ying1
嬰	婴	ying1
應	应	ying1
英	英	ying1
鸚	鹦	ying1
鷹	鹰	ying1
櫻	樱	ying1
瑛	瑛	ying1
映	映	ying2
影	影	ying2
應	应	ying3
瀠	潆	ying4
凝	凝	ying4
鎣	蓥	ying4
瑩	莹	ying4
盈	盈	ying4
型	型	ying4
陘	陉	ying4
熒	荧	ying4
營	营	ying4
滎	荥	ying4
迎	迎	ying4
刑	刑	ying4
蠅	蝇	ying4
仍	仍	ying4
嬴	嬴	ying4
瀛	瀛	ying4
縈	萦	ying4
螢	萤	ying4
邢	邢	ying4
贏	赢	ying4
楹	楹	ying4
形	形	ying4
瀅	滢	ying4/ying6
郢	郢	ying5
認	认	ying6
靨	靥	yip3
頁	页	yip6
葉	叶	yip6
燁	烨	yip6
業	业	yip6
咽	咽	yit3
謁	谒	yit3
噎	噎	yit3
拽	拽	yit6
熱	热	yit6
孽	孽	yit6
臬	臬	yit6/nip6
邀	邀	yiu1
吆	吆	yiu1
么	幺	yiu1
夭	夭	yiu1
妖	妖	yiu1
腰	腰	yiu1
要	要	yiu1
窈	窈	yiu2
擾	扰	yiu2
夭	夭	yiu2
繞	绕	yiu2/yiu5
要	要	yiu3
瑤	瑶	yiu4
搖	摇	yiu4
嬈	娆	yiu4
徭	徭	yiu4
洮	洮	yiu4
遙	遥	yiu4
窯	窑	yiu4
颻	飖	yiu4
姚	姚	yiu4
謠	谣	yiu4
鰩	鳐	yiu4
饒	饶	yiu4
堯	尧	yiu4
舀	舀	yiu5
耀	耀	yiu6
曜	曜	yiu6
鷂	鹞	yiu6
喲	哟	yoh1
唷	唷	yoh1
淤	淤	yue1
於	于	yue1
迂	迂	yue1
嫗	妪	yue2
傴	伛	yue2
瘀	瘀	yue2
酗	酗	yue3/hui2/hui3
俞	俞	yue4
予	予	yue4
愚	愚	yue4
妤	妤	yue4
愉	愉	yue4
瑜	瑜	yue4
踰	逾	yue4
臾	臾	yue4
渝	渝	yue4
輿	舆	yue4
揄	揄	yue4
如	如	yue4
濡	濡	yue4
逾	逾	yue4
萸	萸	yue4
隅	隅	yue4
竽	竽	yue4
覦	觎	yue4
儒	儒	yue4
諛	谀	yue4
茹	茹	yue4
狳	狳	yue4
嚅	嚅	yue4
娛	娱	yue4
漁	渔	yue4
盂	盂	yue4
魚	鱼	yue4
歟	欤	yue4
余	余	yue4
蠕	蠕	yue4
于	于	yue4
蝓	蝓	yue4
榆	榆	yue4
餘	余	yue4
禺	禺	yue4
虞	虞	yue4
孺	孺	yue4/yue6
敔	敔	yue5
汝	汝	yue5
宇	宇	yue5
與	与	yue5
乳	乳	yue5
貐	貐	yue5
予	予	yue5
羽	羽	yue5
語	语	yue5
禹	禹	yue5
雨	雨	yue5
齬	龉	yue5
圄	圄	yue5
瑀	瑀	yue5
譽	誉	yue6
與	与	yue6
豫	豫	yue6
語	语	yue6
禦	御	yue6
喻	喻	yue6
籲	吁	yue6
蕷	蓣	yue6
諭	谕	yue6
寓	寓	yue6
裕	裕	yue6
御	御	yue6
愈	愈	yue6
馭	驭	yue6
癒	愈	yue6
預	预	yue6
遇	遇	yue6
蜿	蜿	yuen1
淵	渊	yuen1
鴛	鸳	yuen1
冤	冤	yuen1
鳶	鸢	yuen1
婉	婉	yuen2
宛	宛	yuen2
苑	苑	yuen2
琬	琬	yuen2
菀	菀	yuen2
怨	怨	yuen3
源	源	yuen4
圓	圆	yuen4
轅	辕	yuen4
玄	玄	yuen4
員	员	yuen4
元	元	yuen4
緣	缘	yuen4
眩	眩	yuen4
猿	猿	yuen4
紈	纨	yuen4
沅	沅	yuen4
完	完	yuen4
袁	袁	yuen4
原	原	yuen4
懸	悬	yuen4
沿	沿	yuen4
烷	烷	yuen4
鉛	铅	yuen4
園	园	yuen4
芫	芫	yuen4
丸	丸	yuen4/yuen2
軟	软	yuen5
阮	阮	yuen5
遠	远	yuen5
願	愿	yuen6
院	院	yuen6
媛	媛	yuen6
縣	县	yuen6
炫	炫	yuen6/yuen4
遠	远	yuen6/yuen5
閱	阅	yuet6
穴	穴	yuet6
悅	悦	yuet6
粵	粤	yuet6
月	月	yuet6
曰	曰	yuet6
鉞	钺	yuet6
釔	钇	yuet6
越	越	yuet6
乙	乙	yuet6/yuet3
蕤	蕤	yui4
蕊	蕊	yui5
睿	睿	yui6
芮	芮	yui6
銳	锐	yui6
裔	裔	yui6
毓	毓	yuk1
煜	煜	yuk1
郁	郁	yuk1
沃	沃	yuk1
昱	昱	yuk1
彧	彧	yuk1
頊	顼	yuk1
旭	旭	yuk1
蓐	蓐	yuk6
褥	褥	yuk6
鈺	钰	yuk6
浴	浴	yuk6
辱	辱	yuk6
育	育	yuk6
鬻	鬻	yuk6
縟	缛	yuk6
肉	肉	yuk6
欲	欲	yuk6
玉	玉	yuk6
慾	欲	yuk6
獄	狱	yuk6
峪	峪	yuk6/yue6
潤	润	yun6
閏	闰	yun6
廱	廱	yung1
饔	饔	yung1
嗡	嗡	yung1
邕	邕	yung1
雍	雍	yung1
翁	翁	yung1
湧	涌	yung2
慂	恿	yung2
蛹	蛹	yung2
臃	臃	yung2
擁	拥	yung2
佣	佣	yung2
踴	踊	yung2
俑	俑	yung2
冗	冗	yung2
庸	庸	yung4
鏞	镛	yung4
容	容	yung4
熔	熔	yung4
戎	戎	yung4
茸	茸	yung4
傭	佣	yung4
蓉	蓉	yung4
鱅	鳙	yung4
融	融	yung4
溶	溶	yung4
慵	慵	yung4
榕	榕	yung4
絨	绒	yung4/yung2
勇	勇	yung5
用	用	yung6
