開放粵語字典（劉錫祥版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［劉錫祥拼音］
嘈	嘈	cho4
漕	漕	cho4
槽	槽	cho4
初	初	choh1
雛	雏	choh1
搓	搓	choh1
磋	磋	choh1
芻	刍	choh1
楚	楚	choh2
礎	础	choh2
銼	锉	choh3
錯	错	choh3
挫	挫	choh3
鋤	锄	choh4
坐	坐	choh5
睬	睬	choi2
採	采	choi2
彩	彩	choi2
綵	彩	choi2
采	采	choi2
菜	菜	choi3
賽	赛	choi3
蔡	蔡	choi3
塞	塞	choi3
裁	裁	choi4
材	材	choi4
財	财	choi4
才	才	choi4
錯	错	chok3
滄	沧	chong1
傖	伧	chong1
創	创	chong1
倉	仓	chong1
艙	舱	chong1
瘡	疮	chong1
蒼	苍	chong1
敞	敞	chong2
廠	厂	chong2
闖	闯	chong2
氅	氅	chong2
創	创	chong3
藏	藏	chong4
床	床	chong4
櫥	橱	chue1
躇	躇	chue1
杵	杵	chue2
貯	贮	chue2
處	处	chue3
蹰	蹰	chue4
廚	厨	chue4/chui4
柱	柱	chue5
署	署	chue5
苧	苎	chue5
儲	储	chue5
佇	伫	chue5
曙	曙	chue5
褚	褚	chue5
處	处	chue5
汆	汆	chuen1
川	川	chuen1
村	村	chuen1
躥	蹿	chuen1
穿	穿	chuen1
揣	揣	chuen2
喘	喘	chuen2
忖	忖	chuen2
攛	撺	chuen2/chuen3
串	串	chuen3
爨	爨	chuen3
吋	吋	chuen3
寸	寸	chuen3
竄	窜	chuen3
醛	醛	chuen4
痊	痊	chuen4
全	全	chuen4
傳	传	chuen4
荃	荃	chuen4
輇	辁	chuen4
筌	筌	chuen4
銓	铨	chuen4
存	存	chuen4
詮	诠	chuen4
泉	泉	chuen4
踅	踅	chuet3
猝	猝	chuet3
撮	撮	chuet3
摧	摧	chui1
炊	炊	chui1
趨	趋	chui1
崔	崔	chui1
吹	吹	chui1
催	催	chui1
璀	璀	chui1/chui2
揣	揣	chui2
取	取	chui2
娶	娶	chui2
翠	翠	chui3
脆	脆	chui3
啐	啐	chui3
趣	趣	chui3
覷	觑	chui3
焠	焠	chui3/sui6
淬	淬	chui3/sui6
蜍	蜍	chui4
隋	隋	chui4
錘	锤	chui4
捶	捶	chui4
徐	徐	chui4
隨	随	chui4
滁	滁	chui4
槌	槌	chui4
除	除	chui4
簇	簇	chuk1
蓄	蓄	chuk1
蹙	蹙	chuk1
矗	矗	chuk1
束	束	chuk1
搐	搐	chuk1
畜	畜	chuk1
亍	亍	chuk1
速	速	chuk1
簌	簌	chuk1
蹴	蹴	chuk1
齪	龊	chuk1
促	促	chuk1
觸	触	chuk1/juk1
春	春	chun1
蠢	蠢	chun2
秦	秦	chun4
嗪	嗪	chun4
巡	巡	chun4
螓	螓	chun4
循	循	chun4
旬	旬	chun4
馴	驯	chun4
匆	匆	chung1
忡	忡	chung1
驄	骢	chung1
衝	冲	chung1
充	充	chung1
沖	冲	chung1
囪	囱	chung1
憧	憧	chung1
樅	枞	chung1
涌	涌	chung1
蔥	葱	chung1
聰	聪	chung1
寵	宠	chung2
冢	冢	chung2
重	重	chung4
叢	丛	chung4
從	从	chung4
松	松	chung4
琮	琮	chung4
蟲	虫	chung4
重	重	chung5
出	出	chut1
齣	出	chut1
打	打	da2
呆	呆	daai1
歹	歹	daai2
戴	戴	daai3
帶	带	daai3
大	大	daai6
儋	儋	daam1
眈	眈	daam1
擔	担	daam1
聃	聃	daam1
耽	耽	daam1
膽	胆	daam2
淡	淡	daam6
澹	澹	daam6
氮	氮	daam6
淡	淡	daam6/taam5
丹	丹	daan1
單	单	daan1
殫	殚	daan1
鄲	郸	daan1
彈	弹	daan2
誕	诞	daan3
旦	旦	daan3
撣	掸	daan5
撢	掸	daan5
但	但	daan6
蛋	蛋	daan6
憚	惮	daan6
疍	疍	daan6
彈	弹	daan6
瘩	瘩	daap3
搭	搭	daap3
耷	耷	daap3
答	答	daap3
蹋	蹋	daap6
沓	沓	daap6
踏	踏	daap6
靼	靼	daat3
妲	妲	daat3/taan2
繨	繨	daat6
達	达	daat6
噠	哒	daat6
低	低	dai1
柢	柢	dai2
底	底	dai2
骶	骶	dai2
詆	诋	dai2
邸	邸	dai2
抵	抵	dai2
帝	帝	dai3
蒂	蒂	dai3
締	缔	dai3
碲	碲	dai3
諦	谛	dai3
悌	悌	dai6
棣	棣	dai6
弟	弟	dai6
第	第	dai6
遞	递	dai6
隸	隶	dai6
逮	逮	dai6/doi6
得	得	dak1
德	德	dak1
特	特	dak6
墩	墩	dan2
燉	炖	dan6
蹬	蹬	dang1
登	登	dang1
噔	噔	dang1
燈	灯	dang1
等	等	dang2
鐙	镫	dang3
磴	磴	dang3
凳	凳	dang3
鄧	邓	dang6
瞪	瞪	dang6/dang1
凸	凸	dat6
突	突	dat6
兜	兜	dau1
陡	陡	dau2
抖	抖	dau2
蚪	蚪	dau2
斗	斗	dau2
鬥	斗	dau3
痘	痘	dau6
逗	逗	dau6
竇	窦	dau6
豆	豆	dau6/dau2
爹	爹	de1
嗲	嗲	de2
地	地	dei6
笛	笛	dek6
糴	籴	dek6
涿	涿	deuk3
啄	啄	deuk3
琢	琢	deuk3
斲	斫	deuk3
的	的	dik1
滴	滴	dik1
嫡	嫡	dik1
狄	狄	dik6
翟	翟	dik6
滌	涤	dik6
迪	迪	dik6
敵	敌	dik6
掂	掂	dim1
點	点	dim2
店	店	dim3
玷	玷	dim3
踮	踮	dim3
惦	惦	dim3
巔	巅	din1
癲	癫	din1
碘	碘	din1
顛	颠	din1
墊	垫	din2
典	典	din2
碘	碘	din2
墊	垫	din3
電	电	din6
澱	淀	din6
墊	垫	din6
佃	佃	din6
殿	殿	din6
甸	甸	din6
靛	靛	din6
奠	奠	din6
汀	汀	ding1
仃	仃	ding1
町	町	ding1
丁	丁	ding1
盯	盯	ding1/deng1
釘	钉	ding1/deng1
叮	叮	ding1/deng1
鼎	鼎	ding2
頂	顶	ding2
酊	酊	ding2
碇	碇	ding3
訂	订	ding3/ding6
錠	锭	ding3/ding6
啶	啶	ding6
定	定	ding6
諜	谍	dip6
喋	喋	dip6
蝶	蝶	dip6
碟	碟	dip6
疊	叠	dip6
牒	牒	dip6
鰈	鲽	dip6
跌	跌	dit3
耋	耋	dit6
迭	迭	dit6
秩	秩	dit6
雕	雕	diu1
貂	貂	diu1
鯛	鲷	diu1
凋	凋	diu1
刁	刁	diu1
丟	丢	diu1
碉	碉	diu1
叼	叼	diu1
屌	屌	diu2
吊	吊	diu3
釣	钓	diu3
弔	吊	diu3
調	调	diu6
掉	掉	diu6
叨	叨	do1
都	都	do1
刀	刀	do1
嘟	嘟	do1
倒	倒	do2
搗	捣	do2
堵	堵	do2
賭	赌	do2
島	岛	do2
睹	睹	do2
倒	倒	do3
妒	妒	do3
蠹	蠹	do3
到	到	do3
道	道	do6
稻	稻	do6
盜	盗	do6
杜	杜	do6
鍍	镀	do6
度	度	do6
渡	渡	do6
悼	悼	do6
蹈	蹈	do6
導	导	do6
哆	哆	doh1
多	多	doh1
跺	跺	doh2
躲	躲	doh2
朵	朵	doh2/de2
剁	剁	doh2/deuk3
馱	驮	doh6
惰	惰	doh6
墮	堕	doh6
玳	玳	doi6
袋	袋	doi6
待	待	doi6
甙	甙	doi6
代	代	doi6
黛	黛	doi6
靆	叇	doi6
岱	岱	doi6
怠	怠	doi6/toi5
殆	殆	doi6/toi5
度	度	dok6
鐸	铎	dok6
踱	踱	dok6
襠	裆	dong1
噹	当	dong1
當	当	dong1
鐺	铛	dong1
黨	党	dong2
擋	挡	dong2
檔	档	dong3
當	当	dong3
碭	砀	dong6
宕	宕	dong6
盪	荡	dong6
蕩	荡	dong6
菪	菪	dong6
端	端	duen1
短	短	duen2
煅	煅	duen3
鍛	锻	duen3
段	段	duen6
斷	断	duen6
緞	缎	duen6
斷	断	duen6/duen3
奪	夺	duet6
堆	堆	dui1
對	对	dui3
兌	兑	dui6
隊	队	dui6
篤	笃	duk1
督	督	duk1
犢	犊	duk6
櫝	椟	duk6
毒	毒	duk6
瀆	渎	duk6
黷	黩	duk6
牘	牍	duk6
獨	独	duk6
讀	读	duk6
碡	碡	duk6
髑	髑	duk6
蹲	蹲	dun1
敦	敦	dun1
墩	墩	dun1
惇	惇	dun1
盹	盹	dun6
噸	吨	dun6
遁	遁	dun6
沌	沌	dun6
頓	顿	dun6
鈍	钝	dun6
氡	氡	dung1
冬	冬	dung1
東	东	dung1
咚	咚	dung1
董	董	dung2
懂	懂	dung2
踵	踵	dung2
棟	栋	dung3
凍	冻	dung3
侗	侗	dung6
慟	恸	dung6
胴	胴	dung6
洞	洞	dung6
動	动	dung6
恫	恫	dung6
咄	咄	dut1
欸	欸	ei1
欸	欸	ei2
欸	欸	ei4
欸	欸	ei6
花	花	fa1
化	化	fa3
傀	傀	faai3
快	快	faai3
筷	筷	faai3
塊	块	faai3
噲	哙	faai3
幡	幡	faan1
翻	翻	faan1
番	番	faan1
