開放粵語字典（黃錫凌調符調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［黃錫凌拼音］
君	君	'gwɐn
筠	筠	'gwɐn
鋆	鋆	'gwɐn
錕	锟	'gwɐn
鯤	鲲	'gwɐn
鈞	钧	'gwɐn
橘	橘	'gwɐt
骨	骨	'gwɐt
轟	轰	'gwɐŋ
訇	訇	'gwɐŋ
薨	薨	'gwɐŋ
肱	肱	'gwɐŋ
戈	戈	'gwɔ
桄	桄	'gwɔŋ
光	光	'gwɔŋ
胱	胱	'gwɔŋ
娟	娟	'gyn
捐	捐	'gyn
鵑	鹃	'gyn
蠲	蠲	'gyn
涓	涓	'gyn
据	据	'gœy
居	居	'gœy
僵	僵	'gœŋ
疆	疆	'gœŋ
韁	缰	'gœŋ
薑	姜	'gœŋ
姜	姜	'gœŋ
蜣	蜣	'gœŋ
殭	僵	'gœŋ
羌	羌	'gœŋ
雞	鸡	'gɐi
今	今	'gɐm
柑	柑	'gɐm
苷	苷	'gɐm
甘	甘	'gɐm
泔	泔	'gɐm
金	金	'gɐm
禁	禁	'gɐm
哏	哏	'gɐn
筋	筋	'gɐn
跟	跟	'gɐn
根	根	'gɐn
巾	巾	'gɐn
斤	斤	'gɐn
急	急	'gɐp
訖	讫	'gɐt
桔	桔	'gɐt
紇	纥	'gɐt
吉	吉	'gɐt
佝	佝	'gɐu
鬮	阄	'gɐu
鉤	钩	'gɐu
鳩	鸠	'gɐu/'kɐu
庚	庚	'gɐŋ
更	更	'gɐŋ
羹	羹	'gɐŋ
哥	哥	'gɔ
仡	仡	'gɔ
歌	歌	'gɔ
旮	旮	'gɔ/¯gɔk
菏	菏	'gɔ/ˌhɔ
賅	赅	'gɔi
該	该	'gɔi
咯	咯	'gɔk
杆	杆	'gɔn
乾	干	'gɔn
干	干	'gɔn
竿	竿	'gɔn
肝	肝	'gɔn
崗	岗	'gɔŋ
肛	肛	'gɔŋ
罡	罡	'gɔŋ
缸	缸	'gɔŋ
剛	刚	'gɔŋ
江	江	'gɔŋ
綱	纲	'gɔŋ
岡	冈	'gɔŋ
驚	惊	'gɛŋ
京	京	'gɪŋ
驚	惊	'gɪŋ
經	经	'gɪŋ
涇	泾	'gɪŋ
兢	兢	'gɪŋ
荊	荆	'gɪŋ
矜	矜	'gɪŋ
谷	谷	'gʊk
轂	毂	'gʊk
穀	谷	'gʊk
鞠	鞠	'gʊk
梏	梏	'gʊk
嚳	嚳	'gʊk
菊	菊	'gʊk
鵠	鹄	'gʊk
掬	掬	'gʊk
宮	宫	'gʊŋ
攻	攻	'gʊŋ
工	工	'gʊŋ
功	功	'gʊŋ
公	公	'gʊŋ
躬	躬	'gʊŋ
龔	龚	'gʊŋ
蚣	蚣	'gʊŋ
弓	弓	'gʊŋ
供	供	'gʊŋ
恭	恭	'gʊŋ
哈	哈	'ha
蝦	虾	'ha
揩	揩	'hai
嗨	嗨	'hai
赫	赫	'hak
哮	哮	'hau
敲	敲	'hau
烤	烤	'hau/´hau
夯	夯	'haŋ
坑	坑	'haŋ
熙	熙	'hei
嬉	嬉	'hei
醯	醯	'hei
浠	浠	'hei
熹	熹	'hei
欺	欺	'hei
羲	羲	'hei
唏	唏	'hei
嘻	嘻	'hei
希	希	'hei
稀	稀	'hei
欷	欷	'hei
禧	禧	'hei
犧	牺	'hei
嘿	嘿	'hei
烯	烯	'hei
曦	曦	'hei
謙	谦	'him
掀	掀	'hin
牽	牵	'hin
軒	轩	'hin
騫	骞	'hin
囂	嚣	'hiu
梟	枭	'hiu
驍	骁	'hiu
鴞	鸮	'hiu
僥	侥	'hiu
澆	浇	'hiu
橇	橇	'hiu/¯tsœy
蒿	蒿	'hou
薅	薅	'hou
壎	埙	'hyn
萱	萱	'hyn
圈	圈	'hyn
暄	暄	'hyn
喧	喧	'hyn
吁	吁	'hœy
墟	墟	'hœy
歔	歔	'hœy
噓	嘘	'hœy
盱	盱	'hœy
虛	虚	'hœy
鄉	乡	'hœŋ
香	香	'hœŋ
氪	氪	'hɐk
可	可	'hɐk
克	克	'hɐk
刻	刻	'hɐk
黑	黑	'hɐk
剋	克	'hɐk
堪	堪	'hɐm
戡	戡	'hɐm
憨	憨	'hɐm
勘	勘	'hɐm
蚶	蚶	'hɐm
龕	龛	'hɐm
洽	洽	'hɐp
恰	恰	'hɐp
乞	乞	'hɐt
齁	齁	'hɐu
亨	亨	'hɐŋ
哼	哼	'hɐŋ
鏗	铿	'hɐŋ
莖	茎	'hɐŋ/¯gɪŋ
訶	诃	'hɔ
苛	苛	'hɔ
呵	呵	'hɔ
開	开	'hɔi
鐦	锎	'hɔi
咍	咍	'hɔi
腔	腔	'hɔŋ
糠	糠	'hɔŋ
誆	诓	'hɔŋ
匡	匡	'hɔŋ
劻	劻	'hɔŋ
康	康	'hɔŋ
筐	筐	'hɔŋ/'kwaŋ
眶	眶	'hɔŋ/'kwaŋ
靴	靴	'hɛu
馨	馨	'hɪŋ
卿	卿	'hɪŋ
氫	氢	'hɪŋ
兄	兄	'hɪŋ
興	兴	'hɪŋ
輕	轻	'hɪŋ/'hɛŋ
哭	哭	'hʊk
凶	凶	'hʊŋ
洶	汹	'hʊŋ
崆	崆	'hʊŋ
兇	凶	'hʊŋ
匈	匈	'hʊŋ
箜	箜	'hʊŋ
空	空	'hʊŋ
胸	胸	'hʊŋ
衣	衣	'ji
醫	医	'ji
依	依	'ji
伊	伊	'ji
銥	铱	'ji
禕	祎	'ji
禕	祎	'ji
猗	猗	'ji
漪	漪	'ji
黟	黟	'ji
益	益	'jik
鬩	阋	'jik
憶	忆	'jik
臆	臆	'jik
抑	抑	'jik
億	亿	'jik
淹	淹	'jim
奄	奄	'jim
閹	阉	'jim
懨	恹	'jim
醃	腌	'jim/¯jip
鄢	鄢	'jin
閼	阏	'jin
蔫	蔫	'jin
菸	烟	'jin
嫣	嫣	'jin
燕	燕	'jin
咽	咽	'jin
湮	湮	'jin
焉	焉	'jin
胭	胭	'jin
煙	烟	'jin
妖	妖	'jiu
腰	腰	'jiu
夭	夭	'jiu
邀	邀	'jiu
么	幺	'jiu
吆	吆	'jiu
要	要	'jiu
淤	淤	'jy
迂	迂	'jy
於	于	'jy
淵	渊	'jyn
鴛	鸳	'jyn
鳶	鸢	'jyn
冤	冤	'jyn
蜿	蜿	'jyn
央	央	'jœŋ
殃	殃	'jœŋ
秧	秧	'jœŋ
鴦	鸯	'jœŋ
音	音	'jɐm
欽	钦	'jɐm
鑫	鑫	'jɐm
陰	阴	'jɐm
歆	歆	'jɐm
氤	氤	'jɐn
因	因	'jɐn
堙	堙	'jɐn
甄	甄	'jɐn
忻	忻	'jɐn
殷	殷	'jɐn
姻	姻	'jɐn
欣	欣	'jɐn
昕	昕	'jɐn
茵	茵	'jɐn
恩	恩	'jɐn
邑	邑	'jɐp
挹	挹	'jɐp
翕	翕	'jɐp
熠	熠	'jɐp
泣	泣	'jɐp
揖	揖	'jɐp
悒	悒	'jɐp
壹	壹	'jɐt
一	一	'jɐt
咻	咻	'jɐu
休	休	'jɐu
幽	幽	'jɐu
憂	忧	'jɐu
丘	丘	'jɐu
鵂	鸺	'jɐu
邱	邱	'jɐu
優	优	'jɐu
貅	貅	'jɐu
蚯	蚯	'jɐu
髹	髹	'jɐu
喲	哟	'jɔ
唷	唷	'jɔ
膺	膺	'jɪŋ
鷹	鹰	'jɪŋ
瑛	瑛	'jɪŋ
鸚	鹦	'jɪŋ
纓	缨	'jɪŋ
櫻	樱	'jɪŋ
英	英	'jɪŋ
嬰	婴	'jɪŋ
應	应	'jɪŋ
郁	郁	'jʊk
煜	煜	'jʊk
頊	顼	'jʊk
毓	毓	'jʊk
彧	彧	'jʊk
昱	昱	'jʊk
沃	沃	'jʊk
旭	旭	'jʊk
雍	雍	'jʊŋ
翁	翁	'jʊŋ
嗡	嗡	'jʊŋ
饔	饔	'jʊŋ
廱	廱	'jʊŋ
邕	邕	'jʊŋ
卡	卡	'ka
喀	喀	'ka
蹊	蹊	'kei
崎	崎	'kei
蹺	跷	'kiu/'hiu
箍	箍	'ku
誇	夸	'kwa
垮	垮	'kwa
夸	夸	'kwa
框	框	'kwaŋ/'hɔŋ
盔	盔	'kwɐi
虧	亏	'kwɐi
巋	岿	'kwɐi
規	规	'kwɐi
窺	窥	'kwɐi
崑	昆	'kwɐn
坤	坤	'kwɐn
髡	髡	'kwɐn
昆	昆	'kwɐn
焜	焜	'kwɐn/_wɐn
嶇	岖	'kœy
祛	祛	'kœy
駒	驹	'kœy
俱	俱	'kœy
軀	躯	'kœy
驅	驱	'kœy
區	区	'kœy
拘	拘	'kœy
蹊	蹊	'kɐi
稽	稽	'kɐi
溪	溪	'kɐi
嵇	嵇	'kɐi/ˌhɐi
襟	襟	'kɐm
吸	吸	'kɐp
給	给	'kɐp
岌	岌	'kɐp
級	级	'kɐp
笈	笈	'kɐp
歙	歙	'kɐp
汲	汲	'kɐp
咳	咳	'kɐt
卡	卡	'kɐt
摳	抠	'kɐu
篝	篝	'kɐu/'gɐu
溝	沟	'kɐu/'gɐu
扛	扛	'kɔŋ
傾	倾	'kɪŋ
曲	曲	'kʊk
麴	曲	'kʊk
拉	拉	'la
啦	啦	'la
喇	喇	'la
拉	拉	'lai
喱	喱	'lei
璃	璃	'lei
哩	哩	'li
櫪	枥	'lik
礫	砾	'lik
靂	雳	'lik
瀝	沥	'lik/_lik
令	令	'lim
撂	撂	'liu
撩	撩	'liu
溜	溜	'liu
撈	捞	'lou
嚕	噜	'lou
笠	笠	'lɐp
甩	甩	'lɐt
嘍	喽	'lɐu
囉	囉	'lɔ
咯	咯	'lɔ
旯	旯	'lɔ/¯lɔk
啷	啷	'lɔŋ
哩	哩	'lɛ
咧	咧	'lɛ
轆	辘	'lʊk
麓	麓	'lʊk
碌	碌	'lʊk
嬤	嬷	'ma
媽	妈	'ma
嗎	吗	'ma/¯ma
貓	猫	'mau
繃	绷	'maŋ
喵	喵	'miu
咪	咪	'mɐi/'mei
蚊	蚊	'mɐn
哞	哞	'mɐu
摩	摩	'mɔ
麼	么	'mɔ
魔	魔	'mɔ
剝	剥	'mɔk
哶	哶	'mɛ
哪	哪	'na
孬	孬	'nau
匿	匿	'nik
暱	昵	'nik
溺	溺	'nik/_nik
拈	拈	'nim
粘	粘	'nim/'dzim
黏	黏	'nim/'dzim
鎳	镍	'nip
粒	粒	'nɐp/'lɐp
呢	呢	'nɛ
趴	趴	'pa
啪	啪	'pak
攀	攀	'pan
扳	扳	'pan
泡	泡	'pau
脬	脬	'pau
拋	抛	'pau
澎	澎	'paŋ
烹	烹	'paŋ
披	披	'pei
狉	狉	'pei
丕	丕	'pei
呸	呸	'pei
紕	纰	'pei
闢	辟	'pik
僻	僻	'pik
霹	霹	'pik
辟	辟	'pik
癖	癖	'pik
編	编	'pin
偏	偏	'pin
翩	翩	'pin
篇	篇	'pin
扁	扁	'pin
蝙	蝙	'pin/'bin
漂	漂	'piu
飄	飘	'piu
縹	缥	'piu
嘌	嘌	'piu
鋪	铺	'pou
坯	坯	'pui
胚	胚	'pui
番	番	'pun
潘	潘	'pun
批	批	'pɐi
疋	疋	'pɐt
匹	匹	'pɐt
頗	颇	'pɔ
坡	坡	'pɔ/'bɔ
棵	棵	'pɔ/´fɔ
怦	怦	'pɪŋ
抨	抨	'pɪŋ
姘	姘	'pɪŋ
砰	砰	'pɪŋ
娉	娉	'pɪŋ
拼	拼	'pɪŋ/¯pɪŋ
仆	仆	'pʊk
莎	莎	'sa
卅	卅	'sa
裟	裟	'sa
紗	纱	'sa
砂	砂	'sa
沙	沙	'sa
痧	痧	'sa
啥	啥	'sa
鯊	鲨	'sa
仨	仨	'sam
三	三	'sam
叄	叁	'sam
衫	衫	'sam
山	山	'san
栓	栓	'san
珊	珊	'san
舢	舢	'san
閂	闩	'san
姍	姗	'san
刪	删	'san
潸	潸	'san
拴	拴	'san
跚	跚	'san
梢	梢	'sau
捎	捎	'sau
牲	牲	'saŋ
甥	甥	'saŋ
尸	尸	'si
絲	丝	'si
師	师	'si
詩	诗	'si
廝	厮	'si
屍	尸	'si
思	思	'si
司	司	'si
私	私	'si
施	施	'si
斯	斯	'si
蓍	蓍	'si
撕	撕	'si
獅	狮	'si
飾	饰	'sik
淅	淅	'sik
蟋	蟋	'sik
悉	悉	'sik
螫	螫	'sik
皙	皙	'sik
晰	晰	'sik
識	识	'sik
惜	惜	'sik
銫	铯	'sik
式	式	'sik
析	析	'sik
昔	昔	'sik
軾	轼	'sik
熄	熄	'sik
色	色	'sik
適	适	'sik
媳	媳	'sik
嗇	啬	'sik
息	息	'sik
釋	释	'sik
蜥	蜥	'sik
拭	拭	'sik
鮮	鲜	'sin
先	先	'sin
酰	酰	'sin
仙	仙	'sin
氙	氙	'sin/'san
宵	宵	'siu
霄	霄	'siu
消	消	'siu
瀟	潇	'siu
魈	魈	'siu
簫	箫	'siu
逍	逍	'siu
硝	硝	'siu
蕭	萧	'siu
韶	韶	'siu
燒	烧	'siu
銷	销	'siu
穌	稣	'sou
囌	苏	'sou
臊	臊	'sou
騷	骚	'sou
搔	搔	'sou
鬚	须	'sou
酥	酥	'sou
蘇	苏	'sou
甦	甦	'sou
書	书	'sy
舒	舒	'sy
紓	纾	'sy
抒	抒	'sy
輸	输	'sy
樞	枢	'sy
瑄	瑄	'syn
孫	孙	'syn
猻	狲	'syn
宣	宣	'syn
酸	酸	'syn
狻	狻	'syn
蓀	荪	'syn
悛	悛	'syn
飧	飧	'syn
荀	荀	'sœn
芯	芯	'sœn
殉	殉	'sœn
詢	询	'sœn
峋	峋	'sœn
率	率	'sœt
戌	戌	'sœt
恤	恤	'sœt
摔	摔	'sœt
