开放粤语字典（黄锡凌调符调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［黄锡凌拼音］
彧	彧	'jʊk
昱	昱	'jʊk
沃	沃	'jʊk
旭	旭	'jʊk
雍	雍	'jʊŋ
翁	翁	'jʊŋ
嗡	嗡	'jʊŋ
饔	饔	'jʊŋ
廱	廱	'jʊŋ
邕	邕	'jʊŋ
卡	卡	'ka
喀	喀	'ka
蹊	蹊	'kei
崎	崎	'kei
跷	蹺	'kiu/'hiu
箍	箍	'ku
夸	誇	'kwa
垮	垮	'kwa
夸	夸	'kwa
框	框	'kwaŋ/'hɔŋ
盔	盔	'kwɐi
亏	虧	'kwɐi
岿	巋	'kwɐi
规	規	'kwɐi
窥	窺	'kwɐi
昆	崑	'kwɐn
坤	坤	'kwɐn
髡	髡	'kwɐn
昆	昆	'kwɐn
焜	焜	'kwɐn/_wɐn
岖	嶇	'kœy
祛	祛	'kœy
驹	駒	'kœy
俱	俱	'kœy
躯	軀	'kœy
驱	驅	'kœy
区	區	'kœy
拘	拘	'kœy
蹊	蹊	'kɐi
稽	稽	'kɐi
溪	溪	'kɐi
嵇	嵇	'kɐi/ˌhɐi
襟	襟	'kɐm
吸	吸	'kɐp
给	給	'kɐp
岌	岌	'kɐp
级	級	'kɐp
笈	笈	'kɐp
歙	歙	'kɐp
汲	汲	'kɐp
咳	咳	'kɐt
卡	卡	'kɐt
抠	摳	'kɐu
篝	篝	'kɐu/'gɐu
沟	溝	'kɐu/'gɐu
扛	扛	'kɔŋ
倾	傾	'kɪŋ
曲	曲	'kʊk
曲	麴	'kʊk
拉	拉	'la
啦	啦	'la
喇	喇	'la
拉	拉	'lai
喱	喱	'lei
璃	璃	'lei
哩	哩	'li
枥	櫪	'lik
砾	礫	'lik
雳	靂	'lik
沥	瀝	'lik/_lik
令	令	'lim
撂	撂	'liu
撩	撩	'liu
溜	溜	'liu
捞	撈	'lou
噜	嚕	'lou
笠	笠	'lɐp
甩	甩	'lɐt
喽	嘍	'lɐu
囉	囉	'lɔ
咯	咯	'lɔ
旯	旯	'lɔ/¯lɔk
啷	啷	'lɔŋ
哩	哩	'lɛ
咧	咧	'lɛ
辘	轆	'lʊk
麓	麓	'lʊk
碌	碌	'lʊk
嬷	嬤	'ma
妈	媽	'ma
吗	嗎	'ma/¯ma
猫	貓	'mau
绷	繃	'maŋ
喵	喵	'miu
咪	咪	'mɐi/'mei
蚊	蚊	'mɐn
哞	哞	'mɐu
摩	摩	'mɔ
么	麼	'mɔ
魔	魔	'mɔ
剥	剝	'mɔk
哶	哶	'mɛ
哪	哪	'na
孬	孬	'nau
匿	匿	'nik
昵	暱	'nik
溺	溺	'nik/_nik
拈	拈	'nim
粘	粘	'nim/'dzim
黏	黏	'nim/'dzim
镍	鎳	'nip
粒	粒	'nɐp/'lɐp
呢	呢	'nɛ
趴	趴	'pa
啪	啪	'pak
攀	攀	'pan
扳	扳	'pan
泡	泡	'pau
脬	脬	'pau
抛	拋	'pau
澎	澎	'paŋ
烹	烹	'paŋ
披	披	'pei
狉	狉	'pei
丕	丕	'pei
呸	呸	'pei
纰	紕	'pei
辟	闢	'pik
僻	僻	'pik
霹	霹	'pik
辟	辟	'pik
癖	癖	'pik
编	編	'pin
偏	偏	'pin
翩	翩	'pin
篇	篇	'pin
扁	扁	'pin
蝙	蝙	'pin/'bin
漂	漂	'piu
飘	飄	'piu
缥	縹	'piu
嘌	嘌	'piu
铺	鋪	'pou
坯	坯	'pui
胚	胚	'pui
番	番	'pun
潘	潘	'pun
批	批	'pɐi
疋	疋	'pɐt
匹	匹	'pɐt
颇	頗	'pɔ
坡	坡	'pɔ/'bɔ
棵	棵	'pɔ/´fɔ
怦	怦	'pɪŋ
抨	抨	'pɪŋ
姘	姘	'pɪŋ
砰	砰	'pɪŋ
娉	娉	'pɪŋ
拼	拼	'pɪŋ/¯pɪŋ
仆	仆	'pʊk
莎	莎	'sa
卅	卅	'sa
裟	裟	'sa
纱	紗	'sa
砂	砂	'sa
沙	沙	'sa
痧	痧	'sa
啥	啥	'sa
鲨	鯊	'sa
仨	仨	'sam
三	三	'sam
叁	叄	'sam
衫	衫	'sam
山	山	'san
栓	栓	'san
珊	珊	'san
舢	舢	'san
闩	閂	'san
姗	姍	'san
删	刪	'san
潸	潸	'san
拴	拴	'san
跚	跚	'san
梢	梢	'sau
捎	捎	'sau
牲	牲	'saŋ
甥	甥	'saŋ
尸	尸	'si
丝	絲	'si
师	師	'si
诗	詩	'si
厮	廝	'si
尸	屍	'si
思	思	'si
司	司	'si
私	私	'si
施	施	'si
斯	斯	'si
蓍	蓍	'si
撕	撕	'si
狮	獅	'si
饰	飾	'sik
淅	淅	'sik
蟋	蟋	'sik
悉	悉	'sik
螫	螫	'sik
皙	皙	'sik
晰	晰	'sik
识	識	'sik
惜	惜	'sik
铯	銫	'sik
式	式	'sik
析	析	'sik
昔	昔	'sik
轼	軾	'sik
熄	熄	'sik
色	色	'sik
适	適	'sik
媳	媳	'sik
啬	嗇	'sik
息	息	'sik
释	釋	'sik
蜥	蜥	'sik
拭	拭	'sik
鲜	鮮	'sin
先	先	'sin
酰	酰	'sin
仙	仙	'sin
氙	氙	'sin/'san
宵	宵	'siu
霄	霄	'siu
消	消	'siu
潇	瀟	'siu
魈	魈	'siu
箫	簫	'siu
逍	逍	'siu
硝	硝	'siu
萧	蕭	'siu
