开放粤语字典（黄锡凌数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［黄锡凌拼音］
枞	樅	dzʊŋ1
钟	鐘	dzʊŋ1
纵	縱	dzʊŋ1
综	綜	dzʊŋ1/dzʊŋ3
衷	衷	dzʊŋ1/tsʊŋ1
肿	腫	dzʊŋ2
总	總	dzʊŋ2
种	種	dzʊŋ2
种	種	dzʊŋ3
中	中	dzʊŋ3
众	眾	dzʊŋ3
纵	縱	dzʊŋ3
粽	粽	dzʊŋ3/dzʊŋ2
重	重	dzʊŋ6
讼	訟	dzʊŋ6
诵	誦	dzʊŋ6
仲	仲	dzʊŋ6
颂	頌	dzʊŋ6
啄	啄	dœk8
斫	斲	dœk8
涿	涿	dœk8
琢	琢	dœk8
蹲	蹲	dœn1
惇	惇	dœn1
敦	敦	dœn1
墩	墩	dœn1
钝	鈍	dœn6
顿	頓	dœn6
沌	沌	dœn6
盹	盹	dœn6
吨	噸	dœn6
遁	遁	dœn6
咄	咄	dœt7
堆	堆	dœy1
对	對	dœy3
兑	兌	dœy6
队	隊	dœy6
低	低	dɐi1
底	底	dɐi2
抵	抵	dɐi2
柢	柢	dɐi2
邸	邸	dɐi2
骶	骶	dɐi2
诋	詆	dɐi2
帝	帝	dɐi3
碲	碲	dɐi3
谛	諦	dɐi3
蒂	蒂	dɐi3
缔	締	dɐi3
隶	隸	dɐi6
弟	弟	dɐi6
悌	悌	dɐi6
棣	棣	dɐi6
递	遞	dɐi6
第	第	dɐi6
逮	逮	dɐi6/dɔi6
德	德	dɐk7
得	得	dɐk7
特	特	dɐk9
墩	墩	dɐn2
炖	燉	dɐn6
突	突	dɐt9
凸	凸	dɐt9
兜	兜	dɐu1
蚪	蚪	dɐu2
陡	陡	dɐu2
斗	斗	dɐu2
抖	抖	dɐu2
斗	鬥	dɐu3
窦	竇	dɐu6
逗	逗	dɐu6
痘	痘	dɐu6
豆	豆	dɐu6/dɐu2
灯	燈	dɐŋ1
噔	噔	dɐŋ1
登	登	dɐŋ1
蹬	蹬	dɐŋ1
等	等	dɐŋ2
镫	鐙	dɐŋ3
磴	磴	dɐŋ3
凳	凳	dɐŋ3
邓	鄧	dɐŋ6
瞪	瞪	dɐŋ6/dɐŋ1
哆	哆	dɔ1
多	多	dɔ1
躲	躲	dɔ2
跺	跺	dɔ2
剁	剁	dɔ2/dœk8
朵	朵	dɔ2/dɛu2
惰	惰	dɔ6
驮	馱	dɔ6
堕	墮	dɔ6
待	待	dɔi6
袋	袋	dɔi6
甙	甙	dɔi6
岱	岱	dɔi6
黛	黛	dɔi6
玳	玳	dɔi6
代	代	dɔi6
叇	靆	dɔi6
怠	怠	dɔi6/tɔi5
殆	殆	dɔi6/tɔi5
铎	鐸	dɔk9
踱	踱	dɔk9
度	度	dɔk9
裆	襠	dɔŋ1
当	噹	dɔŋ1
铛	鐺	dɔŋ1
当	當	dɔŋ1
党	黨	dɔŋ2
挡	擋	dɔŋ2
当	當	dɔŋ3
档	檔	dɔŋ3
荡	盪	dɔŋ6
荡	蕩	dɔŋ6
砀	碭	dɔŋ6
菪	菪	dɔŋ6
宕	宕	dɔŋ6
爹	爹	dɛ1
嗲	嗲	dɛ2
笛	笛	dɛk9
籴	糴	dɛk9
仃	仃	dɪŋ1
丁	丁	dɪŋ1
汀	汀	dɪŋ1
町	町	dɪŋ1
钉	釘	dɪŋ1/dɛŋ1
叮	叮	dɪŋ1/dɛŋ1
盯	盯	dɪŋ1/dɛŋ1
顶	頂	dɪŋ2
酊	酊	dɪŋ2
鼎	鼎	dɪŋ2
碇	碇	dɪŋ3
锭	錠	dɪŋ3/dɪŋ6
订	訂	dɪŋ3/dɪŋ6
定	定	dɪŋ6
啶	啶	dɪŋ6
督	督	dʊk7
笃	篤	dʊk7
椟	櫝	dʊk9
黩	黷	dʊk9
读	讀	dʊk9
犊	犢	dʊk9
渎	瀆	dʊk9
毒	毒	dʊk9
髑	髑	dʊk9
独	獨	dʊk9
碡	碡	dʊk9
牍	牘	dʊk9
东	東	dʊŋ1
冬	冬	dʊŋ1
氡	氡	dʊŋ1
咚	咚	dʊŋ1
踵	踵	dʊŋ2
董	董	dʊŋ2
