開放粵語字典（國際音標版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［國際音標］
送	送	sʊŋ˧
聳	耸	sʊŋ˧˥
慫	怂	sʊŋ˧˥
竦	竦	sʊŋ˧˥
悚	悚	sʊŋ˧˥
崇	崇	sʊŋ˨˩
呆	呆	ta:i˥
帶	带	ta:i˧
戴	戴	ta:i˧
歹	歹	ta:i˧˥
大	大	ta:i˨
擔	担	ta:m˥
聃	聃	ta:m˥
耽	耽	ta:m˥
儋	儋	ta:m˥
眈	眈	ta:m˥
膽	胆	ta:m˧˥
氮	氮	ta:m˨
澹	澹	ta:m˨
淡	淡	ta:m˨
淡	淡	ta:m˨/tʰa:m˩˧
單	单	ta:n˥
丹	丹	ta:n˥
鄲	郸	ta:n˥
殫	殚	ta:n˥
旦	旦	ta:n˧
誕	诞	ta:n˧
彈	弹	ta:n˧˥
但	但	ta:n˨
疍	疍	ta:n˨
彈	弹	ta:n˨
憚	惮	ta:n˨
蛋	蛋	ta:n˨
撢	掸	ta:n˩˧
撣	掸	ta:n˩˧
耷	耷	ta:p˧
搭	搭	ta:p˧
答	答	ta:p˧
瘩	瘩	ta:p˧
蹋	蹋	ta:p˨
踏	踏	ta:p˨
沓	沓	ta:p˨
靼	靼	ta:t˧
妲	妲	ta:t˧/tʰa:n˧˥
噠	哒	ta:t˨
達	达	ta:t˨
繨	繨	ta:t˨
打	打	ta:˧˥
地	地	tei˨
掂	掂	ti:m˥
踮	踮	ti:m˧
店	店	ti:m˧
玷	玷	ti:m˧
惦	惦	ti:m˧
點	点	ti:m˧˥
癲	癫	ti:n˥
碘	碘	ti:n˥
顛	颠	ti:n˥
巔	巅	ti:n˥
墊	垫	ti:n˧
碘	碘	ti:n˧˥
典	典	ti:n˧˥
墊	垫	ti:n˧˥
靛	靛	ti:n˨
澱	淀	ti:n˨
電	电	ti:n˨
墊	垫	ti:n˨
佃	佃	ti:n˨
殿	殿	ti:n˨
甸	甸	ti:n˨
奠	奠	ti:n˨
鰈	鲽	ti:p˨
疊	叠	ti:p˨
碟	碟	ti:p˨
蝶	蝶	ti:p˨
喋	喋	ti:p˨
諜	谍	ti:p˨
牒	牒	ti:p˨
跌	跌	ti:t˧
迭	迭	ti:t˨
秩	秩	ti:t˨
耋	耋	ti:t˨
雕	雕	ti:u˥
鯛	鲷	ti:u˥
凋	凋	ti:u˥
刁	刁	ti:u˥
丟	丢	ti:u˥
貂	貂	ti:u˥
叼	叼	ti:u˥
碉	碉	ti:u˥
釣	钓	ti:u˧
弔	吊	ti:u˧
吊	吊	ti:u˧
屌	屌	ti:u˧˥
調	调	ti:u˨
掉	掉	ti:u˨
嘟	嘟	tou˥
刀	刀	tou˥
叨	叨	tou˥
都	都	tou˥
到	到	tou˧
倒	倒	tou˧
妒	妒	tou˧
蠹	蠹	tou˧
賭	赌	tou˧˥
搗	捣	tou˧˥
島	岛	tou˧˥
睹	睹	tou˧˥
堵	堵	tou˧˥
倒	倒	tou˧˥
度	度	tou˨
渡	渡	tou˨
蹈	蹈	tou˨
導	导	tou˨
杜	杜	tou˨
道	道	tou˨
盜	盗	tou˨
鍍	镀	tou˨
悼	悼	tou˨
稻	稻	tou˨
齎	赍	tsa:i˥
齋	斋	tsa:i˥
債	债	tsa:i˧
眥	眦	tsa:i˨
寨	寨	tsa:i˨
嘖	啧	tsa:k˧
責	责	tsa:k˧
窄	窄	tsa:k˧
澤	泽	tsa:k˨
擇	择	tsa:k˨
謫	谪	tsa:k˨
摘	摘	tsa:k˨
擲	掷	tsa:k˨
躑	踯	tsa:k˨
宅	宅	tsa:k˨
蘸	蘸	tsa:m˧
湛	湛	tsa:m˧
斬	斩	tsa:m˧˥
嶄	崭	tsa:m˧˥
鏨	錾	tsa:m˨
站	站	tsa:m˨
暫	暂	tsa:m˨
贊	赞	tsa:n˧
讚	赞	tsa:n˧
攢	攒	tsa:n˧˥
趲	趱	tsa:n˧˥
盞	盏	tsa:n˧˥
棧	栈	tsa:n˨
綻	绽	tsa:n˨
饌	馔	tsa:n˨
撰	撰	tsa:n˨
賺	赚	tsa:n˨
砸	砸	tsa:p˧
眨	眨	tsa:p˧
匝	匝	tsa:p˧
咂	咂	tsa:p˧
隰	隰	tsa:p˨
閘	闸	tsa:p˨
集	集	tsa:p˨
習	习	tsa:p˨
雜	杂	tsa:p˨
什	什	tsa:p˨
襲	袭	tsa:p˨
拶	拶	tsa:t˧
鍘	铡	tsa:t˧
札	札	tsa:t˧
紮	紮	tsa:t˧
軋	轧	tsa:t˧
扎	扎	tsa:t˧
嘲	嘲	tsa:u˥
罩	罩	tsa:u˧
爪	爪	tsa:u˧˥
找	找	tsa:u˧˥
掙	挣	tsa:ŋ˨
楂	楂	tsa:˥
齇	齇	tsa:˥
咱	咱	tsa:˥
吒	吒	tsa:˥
糌	糌	tsa:˥
渣	渣	tsa:˥
抓	抓	tsa:˥/tsa:u˧˥
咋	咋	tsa:˧
榨	榨	tsa:˧
咤	咤	tsa:˧
乍	乍	tsa:˧
炸	炸	tsa:˧
詐	诈	tsa:˧
蚱	蚱	tsa:˧/tsa:k˧
嵖	嵖	tsa:˨
膪	膪	tsa:˨
譫	谵	tsi:m˥
尖	尖	tsi:m˥
瞻	瞻	tsi:m˥
詹	詹	tsi:m˥
沾	沾	tsi:m˥
霑	霑	tsi:m˥
占	占	tsi:m˥
佔	占	tsi:m˧
漸	渐	tsi:m˨
羶	膻	tsi:n˥
煎	煎	tsi:n˥
氈	毡	tsi:n˥
箋	笺	tsi:n˥
顫	颤	tsi:n˧
薦	荐	tsi:n˧
箭	箭	tsi:n˧
戰	战	tsi:n˧
濺	溅	tsi:n˧
餞	饯	tsi:n˧
展	展	tsi:n˧˥
碾	碾	tsi:n˧˥
翦	翦	tsi:n˧˥
剪	剪	tsi:n˧˥
輾	辗	tsi:n˧˥
闡	阐	tsi:n˧˥/tsʰi:n˧˥
賤	贱	tsi:n˨
輒	辄	tsi:p˧
囁	嗫	tsi:p˧
褶	褶	tsi:p˧
浹	浃	tsi:p˧
接	接	tsi:p˧
摺	折	tsi:p˧
楫	楫	tsi:p˧
唧	唧	tsi:t˥
櫛	栉	tsi:t˧
癤	疖	tsi:t˧
蜇	蜇	tsi:t˧
浙	浙	tsi:t˧
哲	哲	tsi:t˧
婕	婕	tsi:t˧
折	折	tsi:t˧
節	节	tsi:t˧
捷	捷	tsi:t˨
截	截	tsi:t˨
睫	睫	tsi:t˨
招	招	tsi:u˥
礁	礁	tsi:u˥
朝	朝	tsi:u˥
焦	焦	tsi:u˥
蕉	蕉	tsi:u˥
椒	椒	tsi:u˥
詔	诏	tsi:u˧
照	照	tsi:u˧
沼	沼	tsi:u˧˥
剿	剿	tsi:u˧˥
趙	赵	tsi:u˨
召	召	tsi:u˨
氏	氏	tsi:˥
淄	淄	tsi:˥
鼒	鼒	tsi:˥
資	资	tsi:˥
貲	赀	tsi:˥
知	知	tsi:˥
之	之	tsi:˥
蜘	蜘	tsi:˥
脂	脂	tsi:˥
支	支	tsi:˥
枝	枝	tsi:˥
姿	姿	tsi:˥
咨	咨	tsi:˥
滋	滋	tsi:˥
諮	谘	tsi:˥
茲	兹	tsi:˥
吱	吱	tsi:˥
輜	辎	tsi:˥
肢	肢	tsi:˥
芝	芝	tsi:˥
齜	龇	tsi:˥
孜	孜	tsi:˥
痣	痣	tsi:˧
躓	踬	tsi:˧
致	致	tsi:˧
智	智	tsi:˧
摯	挚	tsi:˧
置	置	tsi:˧
輊	轾	tsi:˧
誌	志	tsi:˧
質	质	tsi:˧
緻	致	tsi:˧
至	至	tsi:˧
志	志	tsi:˧
恣	恣	tsi:˧/tsʰi:˧
趾	趾	tsi:˧˥
酯	酯	tsi:˧˥
祉	祉	tsi:˧˥
芷	芷	tsi:˧˥
秭	秭	tsi:˧˥
仔	仔	tsi:˧˥
姊	姊	tsi:˧˥
咫	咫	tsi:˧˥
梓	梓	tsi:˧˥
籽	籽	tsi:˧˥
址	址	tsi:˧˥
紫	紫	tsi:˧˥
旨	旨	tsi:˧˥
紙	纸	tsi:˧˥
指	指	tsi:˧˥
只	只	tsi:˧˥
止	止	tsi:˧˥
子	子	tsi:˧˥
滓	滓	tsi:˧˥
俟	俟	tsi:˨
痔	痔	tsi:˨
字	字	tsi:˨
雉	雉	tsi:˨
巳	巳	tsi:˨
祀	祀	tsi:˨
自	自	tsi:˨
稚	稚	tsi:˨
飼	饲	tsi:˨
嗣	嗣	tsi:˨
耜	耜	tsi:˨
伺	伺	tsi:˨
治	治	tsi:˨
豸	豸	tsi:˨/tsa:i˨
寺	寺	tsi:˨/tsi:˧˥
峙	峙	tsi:˨/tsʰi:˩˧
遭	遭	tsou˥
糟	糟	tsou˥
租	租	tsou˥
灶	灶	tsou˧
藻	藻	tsou˧˥
早	早	tsou˧˥
澡	澡	tsou˧˥
棗	枣	tsou˧˥
祖	祖	tsou˧˥
組	组	tsou˧˥
蚤	蚤	tsou˧˥
駔	驵	tsou˧˥
造	造	tsou˨
皂	皂	tsou˨
做	做	tsou˨
慥	慥	tsou˨/tsʰou˧
磚	砖	tsy:n˥
尊	尊	tsy:n˥
專	专	tsy:n˥
顓	颛	tsy:n˥
鱒	鳟	tsy:n˥/tsy:n˧
鐫	镌	tsy:n˥/tsɵn˧
轉	转	tsy:n˧
鑽	钻	tsy:n˧
鑽	钻	tsy:n˧/tsy:n˥
轉	转	tsy:n˧˥
纂	纂	tsy:n˧˥
傳	传	tsy:n˧˥
傳	传	tsy:n˨
啜	啜	tsy:t˧
輟	辍	tsy:t˧
咄	咄	tsy:t˧
掇	掇	tsy:t˧
茁	茁	tsy:t˧
拙	拙	tsy:t˧
絕	绝	tsy:t˨
侏	侏	tsy:˥
諸	诸	tsy:˥
朱	朱	tsy:˥
銖	铢	tsy:˥
誅	诛	tsy:˥
茱	茱	tsy:˥
珠	珠	tsy:˥
豬	猪	tsy:˥
蛛	蛛	tsy:˥
株	株	tsy:˥
炷	炷	tsy:˧
注	注	tsy:˧
駐	驻	tsy:˧
蛀	蛀	tsy:˧
著	著	tsy:˧
註	注	tsy:˧
著	著	tsy:˧
主	主	tsy:˧˥
煮	煮	tsy:˧˥
住	住	tsy:˨
箸	箸	tsy:˨
酌	酌	tsœ:k˧
灼	灼	tsœ:k˧
著	着	tsœ:k˧
鵲	鹊	tsœ:k˧
雀	雀	tsœ:k˧
爵	爵	tsœ:k˧
斫	斫	tsœ:k˧
嚼	嚼	tsœ:k˧
勺	勺	tsœ:k˧/tsʰœ:k˧
桌	桌	tsœ:k˧/tsʰœ:k˧
著	着	tsœ:k˨
著	著	tsœ:k˨
將	将	tsœ:ŋ˥
漿	浆	tsœ:ŋ˥
章	章	tsœ:ŋ˥
張	张	tsœ:ŋ˥
蟑	蟑	tsœ:ŋ˥
璋	璋	tsœ:ŋ˥
彰	彰	tsœ:ŋ˥
獐	獐	tsœ:ŋ˥
嫜	嫜	tsœ:ŋ˥
鄣	鄣	tsœ:ŋ˥
漳	漳	tsœ:ŋ˥
樟	樟	tsœ:ŋ˥
脹	胀	tsœ:ŋ˧
漲	涨	tsœ:ŋ˧
帳	帐	tsœ:ŋ˧
仗	仗	tsœ:ŋ˧
障	障	tsœ:ŋ˧
幛	幛	tsœ:ŋ˧
瘴	瘴	tsœ:ŋ˧
嶂	嶂	tsœ:ŋ˧
醬	酱	tsœ:ŋ˧
將	将	tsœ:ŋ˧
賬	账	tsœ:ŋ˧
長	长	tsœ:ŋ˧˥
槳	桨	tsœ:ŋ˧˥
蔣	蒋	tsœ:ŋ˧˥
掌	掌	tsœ:ŋ˧˥
獎	奖	tsœ:ŋ˧˥
漲	涨	tsœ:ŋ˧˥/tsœ:ŋ˧
杖	杖	tsœ:ŋ˨
像	像	tsœ:ŋ˨
橡	橡	tsœ:ŋ˨
匠	匠	tsœ:ŋ˨
丈	丈	tsœ:ŋ˨
象	象	tsœ:ŋ˨
仗	仗	tsœ:ŋ˨
躋	跻	tsɐi˥
劑	剂	tsɐi˥
齏	齑	tsɐi˥
擠	挤	tsɐi˥
掣	掣	tsɐi˧
制	制	tsɐi˧
霽	霁	tsɐi˧
製	制	tsɐi˧
祭	祭	tsɐi˧
濟	济	tsɐi˧
際	际	tsɐi˧
濟	济	tsɐi˧˥
仔	仔	tsɐi˧˥
滯	滞	tsɐi˨
側	侧	tsɐk˥
仄	仄	tsɐk˥
昃	昃	tsɐk˥
則	则	tsɐk˥
簪	簪	tsɐm˥
砧	砧	tsɐm˥
箴	箴	tsɐm˥
針	针	tsɐm˥
斟	斟	tsɐm˥
枕	枕	tsɐm˧
浸	浸	tsɐm˧
枕	枕	tsɐm˧˥
怎	怎	tsɐm˧˥
朕	朕	tsɐm˨
鴆	鸩	tsɐm˨
珍	珍	tsɐn˥
真	真	tsɐn˥
胗	胗	tsɐn˥
振	振	tsɐn˧
圳	圳	tsɐn˧
賑	赈	tsɐn˧
鎮	镇	tsɐn˧
震	震	tsɐn˧
疹	疹	tsɐn˧˥
軫	轸	tsɐn˧˥/tsʰɐn˧˥
陣	阵	tsɐn˨
汁	汁	tsɐp˥
執	执	tsɐp˥
質	质	tsɐt˥
窒	窒	tsɐt˨
姪	侄	tsɐt˨
疾	疾	tsɐt˨
桎	桎	tsɐt˨
蛭	蛭	tsɐt˨
嫉	嫉	tsɐt˨
蟄	蛰	tsɐt˨
鄒	邹	tsɐu˥
謅	诌	tsɐu˥
洲	洲	tsɐu˥
週	周	tsɐu˥
揪	揪	tsɐu˥
州	州	tsɐu˥
周	周	tsɐu˥
舟	舟	tsɐu˥
諏	诹	tsɐu˥
輈	辀	tsɐu˥
陬	陬	tsɐu˥
縐	绉	tsɐu˧
皺	皱	tsɐu˧
咒	咒	tsɐu˧
揍	揍	tsɐu˧
晝	昼	tsɐu˧
奏	奏	tsɐu˧
帚	帚	tsɐu˧˥
走	走	tsɐu˧˥
酒	酒	tsɐu˧˥
肘	肘	tsɐu˧˥
紂	纣	tsɐu˨
驟	骤	tsɐu˨
岫	岫	tsɐu˨
鷲	鹫	tsɐu˨
冑	冑	tsɐu˨
袖	袖	tsɐu˨
宙	宙	tsɐu˨
就	就	tsɐu˨
增	增	tsɐŋ˥
錚	铮	tsɐŋ˥
崢	峥	tsɐŋ˥
箏	筝	tsɐŋ˥
憎	憎	tsɐŋ˥
僧	僧	tsɐŋ˥
曾	曾	tsɐŋ˥
睜	睁	tsɐŋ˥/tsa:ŋ˥
爭	争	tsɐŋ˥/tsa:ŋ˥
掙	挣	tsɐŋ˥/tsa:ŋ˥
猙	狰	tsɐŋ˥/tsa:ŋ˥
贈	赠	tsɐŋ˨
災	灾	tsɔ:i˥
栽	栽	tsɔ:i˥
哉	哉	tsɔ:i˥
載	载	tsɔ:i˧
再	再	tsɔ:i˧
載	载	tsɔ:i˧˥
崽	崽	tsɔ:i˧˥
宰	宰	tsɔ:i˧˥
在	在	tsɔ:i˨
作	作	tsɔ:k˧
昨	昨	tsɔ:k˧/tsɔ:k˨
擢	擢	tsɔ:k˨
鑿	凿	tsɔ:k˨
莊	庄	tsɔ:ŋ˥
妝	妆	tsɔ:ŋ˥
髒	脏	tsɔ:ŋ˥
贓	赃	tsɔ:ŋ˥
裝	装	tsɔ:ŋ˥
樁	桩	tsɔ:ŋ˥
壯	壮	tsɔ:ŋ˧
葬	葬	tsɔ:ŋ˧
戇	戆	tsɔ:ŋ˧/ŋɔ:ŋ˨
駔	驵	tsɔ:ŋ˧˥
狀	状	tsɔ:ŋ˨
奘	奘	tsɔ:ŋ˨
藏	藏	tsɔ:ŋ˨
臟	脏	tsɔ:ŋ˨
撞	撞	tsɔ:ŋ˨
佐	佐	tsɔ:˧
詛	诅	tsɔ:˧/tsɔ:˧˥
左	左	tsɔ:˧˥
阻	阻	tsɔ:˧˥
俎	俎	tsɔ:˧˥
助	助	tsɔ:˨
唑	唑	tsɔ:˨
坐	坐	tsɔ:˨
座	座	tsɔ:˨
隻	只	tsɛ:k˧
鄭	郑	tsɛ:ŋ˨/tsɪŋ˨
遮	遮	tsɛ:˥
嗟	嗟	tsɛ:˥
柘	柘	tsɛ:˧
蔗	蔗	tsɛ:˧
借	借	tsɛ:˧
者	者	tsɛ:˧˥
姐	姐	tsɛ:˧˥
謝	谢	tsɛ:˨
這	这	tsɛ:˩˧/tsɛ:˧
陟	陟	tsɪk˥
稷	稷	tsɪk˥
鯽	鲫	tsɪk˥
職	职	tsɪk˥
即	即	tsɪk˥
積	积	tsɪk˥
織	织	tsɪk˥
跡	迹	tsɪk˥
績	绩	tsɪk˥
漬	渍	tsɪk˥/tsi:˧
瘠	瘠	tsɪk˧
脊	脊	tsɪk˧/tsɛ:k˧
炙	炙	tsɪk˧/tsɛ:k˧
植	植	tsɪk˨
直	直	tsɪk˨
藉	藉	tsɪk˨
值	值	tsɪk˨
殖	殖	tsɪk˨
夕	夕	tsɪk˨
汐	汐	tsɪk˨
矽	矽	tsɪk˨
寂	寂	tsɪk˨
籍	籍	tsɪk˨
席	席	tsɪk˨
蓆	蓆	tsɪk˨/tsɛ:k˨
藉	借	tsɪk˨/tsɛ:˧
借	借	tsɪk˨/tsɛ:˧
征	征	tsɪŋ˥
怔	怔	tsɪŋ˥
徵	征	tsɪŋ˥
正	正	tsɪŋ˥
旌	旌	tsɪŋ˥
晶	晶	tsɪŋ˥
精	精	tsɪŋ˥
禎	祯	tsɪŋ˥
鉦	钲	tsɪŋ˥
貞	贞	tsɪŋ˥
菁	菁	tsɪŋ˥
偵	侦	tsɪŋ˥
蒸	蒸	tsɪŋ˥
癥	症	tsɪŋ˥
睛	睛	tsɪŋ˥
烝	烝	tsɪŋ˥
政	政	tsɪŋ˧
正	正	tsɪŋ˧
證	证	tsɪŋ˧
症	症	tsɪŋ˧
整	整	tsɪŋ˧˥
井	井	tsɪŋ˧˥/tsɛ:ŋ˧˥
淨	净	tsɪŋ˨
靜	静	tsɪŋ˨
靖	靖	tsɪŋ˨
阱	阱	tsɪŋ˨/tsɛ:ŋ˨
臻	臻	tsɵn˥
津	津	tsɵn˥
榛	榛	tsɵn˥
樽	樽	tsɵn˥
諄	谆	tsɵn˥
遵	遵	tsɵn˥/tsy:n˥
俊	俊	tsɵn˧
縉	缙	tsɵn˧
竣	竣	tsɵn˧
進	进	tsɵn˧
晉	晋	tsɵn˧
峻	峻	tsɵn˧
駿	骏	tsɵn˧
準	准	tsɵn˧˥
儘	尽	tsɵn˧˥
准	准	tsɵn˧˥
隼	隼	tsɵn˧˥
盡	尽	tsɵn˨
燼	烬	tsɵn˨
卒	卒	tsɵt˥
怵	怵	tsɵt˥
黜	黜	tsɵt˥
狙	狙	tsɵy˥
椎	椎	tsɵy˥
錐	锥	tsɵy˥
追	追	tsɵy˥
蛆	蛆	tsɵy˥/tsʰɵy˥
贅	赘	tsɵy˧
最	最	tsɵy˧
醉	醉	tsɵy˧
惴	惴	tsɵy˧
齟	龃	tsɵy˧˥
嘴	嘴	tsɵy˧˥
咀	咀	tsɵy˧˥
沮	沮	tsɵy˧˥
序	序	tsɵy˨
嶼	屿	tsɵy˨
罪	罪	tsɵy˨
敘	叙	tsɵy˨
墜	坠	tsɵy˨
漵	溆	tsɵy˨
聚	聚	tsɵy˨
綴	缀	tsɵy˨/tsɵy˧
燭	烛	tsʊk˥
足	足	tsʊk˥
竹	竹	tsʊk˥
祝	祝	tsʊk˥
粥	粥	tsʊk˥
築	筑	tsʊk˥
竺	竺	tsʊk˥
捉	捉	tsʊk˥
囑	嘱	tsʊk˥
矚	瞩	tsʊk˥
族	族	tsʊk˨
逐	逐	tsʊk˨
濁	浊	tsʊk˨
軸	轴	tsʊk˨
續	续	tsʊk˨
妯	妯	tsʊk˨
俗	俗	tsʊk˨
躅	躅	tsʊk˨
鏃	镞	tsʊk˨
鐲	镯	tsʊk˨
鐘	钟	tsʊŋ˥
樅	枞	tsʊŋ˥
蹤	踪	tsʊŋ˥
螽	螽	tsʊŋ˥
鬃	鬃	tsʊŋ˥
忠	忠	tsʊŋ˥
中	中	tsʊŋ˥
棕	棕	tsʊŋ˥
宗	宗	tsʊŋ˥
盅	盅	tsʊŋ˥
縱	纵	tsʊŋ˥
終	终	tsʊŋ˥
鍾	钟	tsʊŋ˥
綜	综	tsʊŋ˥/tsʊŋ˧
衷	衷	tsʊŋ˥/tsʰʊŋ˥
眾	众	tsʊŋ˧
種	种	tsʊŋ˧
中	中	tsʊŋ˧
縱	纵	tsʊŋ˧
粽	粽	tsʊŋ˧/tsʊŋ˧˥
種	种	tsʊŋ˧˥
總	总	tsʊŋ˧˥
腫	肿	tsʊŋ˧˥
重	重	tsʊŋ˨
誦	诵	tsʊŋ˨
訟	讼	tsʊŋ˨
仲	仲	tsʊŋ˨
頌	颂	tsʊŋ˨
釵	钗	tsʰa:i˥
差	差	tsʰa:i˥
揣	揣	tsʰa:i˥
搋	搋	tsʰa:i˥
猜	猜	tsʰa:i˥
蠆	虿	tsʰa:i˧
踩	踩	tsʰa:i˧˥
踹	踹	tsʰa:i˧˥
豺	豺	tsʰa:i˨˩
儕	侪	tsʰa:i˨˩
柴	柴	tsʰa:i˨˩
冊	册	tsʰa:k˧
策	策	tsʰa:k˧
拆	拆	tsʰa:k˧
柵	栅	tsʰa:k˧
鰂	鲗	tsʰa:k˨
賊	贼	tsʰa:k˨
攙	搀	tsʰa:m˥
摻	掺	tsʰa:m˥
參	参	tsʰa:m˥
懺	忏	tsʰa:m˧
杉	杉	tsʰa:m˧/sa:m˥
慘	惨	tsʰa:m˧˥
慚	惭	tsʰa:m˨˩
讒	谗	tsʰa:m˨˩
蠶	蚕	tsʰa:m˨˩
饞	馋	tsʰa:m˨˩
餐	餐	tsʰa:n˥
璨	璨	tsʰa:n˧
燦	灿	tsʰa:n˧
產	产	tsʰa:n˧˥
鏟	铲	tsʰa:n˧˥
殘	残	tsʰa:n˨˩
插	插	tsʰa:p˧
鍤	锸	tsʰa:p˧
刷	刷	tsʰa:t˧
獺	獭	tsʰa:t˧
察	察	tsʰa:t˧
擦	擦	tsʰa:t˧
剎	刹	tsʰa:t˧/sa:t˧
抄	抄	tsʰa:u˥
鈔	钞	tsʰa:u˥
肏	肏	tsʰa:u˧
炒	炒	tsʰa:u˧˥
吵	吵	tsʰa:u˧˥
巢	巢	tsʰa:u˨˩
撐	撑	tsʰa:ŋ˥
瞠	瞠	tsʰa:ŋ˥
鋥	锃	tsʰa:ŋ˨
橙	橙	tsʰa:ŋ˨˩/tsʰa:ŋ˧˥
叉	叉	tsʰa:˥
差	差	tsʰa:˥
岔	岔	tsʰa:˧
衩	衩	tsʰa:˧
杈	杈	tsʰa:˧
詫	诧	tsʰa:˧
姹	姹	tsʰa:˧
茶	茶	tsʰa:˨˩
查	查	tsʰa:˨˩
碴	碴	tsʰa:˨˩
搽	搽	tsʰa:˨˩
垞	垞	tsʰa:˨˩
槎	槎	tsʰa:˨˩
茬	茬	tsʰa:˨˩
籤	签	tsʰi:m˥
殲	歼	tsʰi:m˥
簽	签	tsʰi:m˥
纖	纤	tsʰi:m˥
塹	堑	tsʰi:m˧
僭	僭	tsʰi:m˧
暹	暹	tsʰi:m˧/tsʰi:m˥
諂	谄	tsʰi:m˧˥
潛	潜	tsʰi:m˨˩
阡	阡	tsʰi:n˥
遷	迁	tsʰi:n˥
韆	千	tsʰi:n˥
仟	仟	tsʰi:n˥
千	千	tsʰi:n˥
淺	浅	tsʰi:n˧˥
纏	缠	tsʰi:n˨˩
錢	钱	tsʰi:n˨˩
前	前	tsʰi:n˨˩
踐	践	tsʰi:n˩˧/tsi:n˨
妾	妾	tsʰi:p˧
澈	澈	tsʰi:t˧
轍	辙	tsʰi:t˧
設	设	tsʰi:t˧
切	切	tsʰi:t˧
徹	彻	tsʰi:t˧
掣	掣	tsʰi:t˧
撤	撤	tsʰi:t˧
昭	昭	tsʰi:u˥
超	超	tsʰi:u˥
釗	钊	tsʰi:u˥
鍬	锹	tsʰi:u˥
俏	俏	tsʰi:u˧
峭	峭	tsʰi:u˧
鞘	鞘	tsʰi:u˧
肖	肖	tsʰi:u˧
悄	悄	tsʰi:u˧˥
悄	悄	tsʰi:u˧˥/tsʰi:u˥
瞧	瞧	tsʰi:u˨˩
朝	朝	tsʰi:u˨˩
樵	樵	tsʰi:u˨˩
憔	憔	tsʰi:u˨˩
潮	潮	tsʰi:u˨˩
哧	哧	tsʰi:˥
蚩	蚩	tsʰi:˥
笞	笞	tsʰi:˥
鴟	鸱	tsʰi:˥
螭	螭	tsʰi:˥
眵	眵	tsʰi:˥
跐	跐	tsʰi:˥
魑	魑	tsʰi:˥
疵	疵	tsʰi:˥
嗤	嗤	tsʰi:˥
癡	痴	tsʰi:˥
差	差	tsʰi:˥
雌	雌	tsʰi:˥
次	次	tsʰi:˧
賜	赐	tsʰi:˧
幟	帜	tsʰi:˧
刺	刺	tsʰi:˧
熾	炽	tsʰi:˧
翅	翅	tsʰi:˧
廁	厕	tsʰi:˧
豕	豕	tsʰi:˧˥
跐	跐	tsʰi:˧˥
褫	褫	tsʰi:˧˥
侈	侈	tsʰi:˧˥
此	此	tsʰi:˧˥
始	始	tsʰi:˧˥
齒	齿	tsʰi:˧˥
恥	耻	tsʰi:˧˥
矢	矢	tsʰi:˧˥
臍	脐	tsʰi:˨˩
持	持	tsʰi:˨˩
茌	茌	tsʰi:˨˩
踟	踟	tsʰi:˨˩
遲	迟	tsʰi:˨˩
匙	匙	tsʰi:˨˩
糍	糍	tsʰi:˨˩
瓷	瓷	tsʰi:˨˩
祠	祠	tsʰi:˨˩
篪	篪	tsʰi:˨˩
馳	驰	tsʰi:˨˩
慈	慈	tsʰi:˨˩
詞	词	tsʰi:˨˩
磁	磁	tsʰi:˨˩
弛	弛	tsʰi:˨˩
池	池	tsʰi:˨˩
墀	墀	tsʰi:˨˩
辭	辞	tsʰi:˨˩
柿	柿	tsʰi:˩˧
恃	恃	tsʰi:˩˧
似	似	tsʰi:˩˧
操	操	tsʰou˥
粗	粗	tsʰou˥
醋	醋	tsʰou˧
躁	躁	tsʰou˧
糙	糙	tsʰou˧
措	措	tsʰou˧
噪	噪	tsʰou˧
燥	燥	tsʰou˧
操	操	tsʰou˧/tsʰou˥
草	草	tsʰou˧˥
嘈	嘈	tsʰou˨˩
槽	槽	tsʰou˨˩
曹	曹	tsʰou˨˩
漕	漕	tsʰou˨˩
躥	蹿	tsʰy:n˥
川	川	tsʰy:n˥
汆	汆	tsʰy:n˥
穿	穿	tsʰy:n˥
村	村	tsʰy:n˥
竄	窜	tsʰy:n˧
吋	吋	tsʰy:n˧
串	串	tsʰy:n˧
寸	寸	tsʰy:n˧
爨	爨	tsʰy:n˧
喘	喘	tsʰy:n˧˥
揣	揣	tsʰy:n˧˥
忖	忖	tsʰy:n˧˥
攛	撺	tsʰy:n˧˥/tsʰy:n˧
輇	辁	tsʰy:n˨˩
痊	痊	tsʰy:n˨˩
傳	传	tsʰy:n˨˩
銓	铨	tsʰy:n˨˩
荃	荃	tsʰy:n˨˩
醛	醛	tsʰy:n˨˩
筌	筌	tsʰy:n˨˩
泉	泉	tsʰy:n˨˩
詮	诠	tsʰy:n˨˩
存	存	tsʰy:n˨˩
全	全	tsʰy:n˨˩
猝	猝	tsʰy:t˧
踅	踅	tsʰy:t˧
撮	撮	tsʰy:t˧
躇	躇	tsʰy:˥
櫥	橱	tsʰy:˥
處	处	tsʰy:˧
杵	杵	tsʰy:˧˥
貯	贮	tsʰy:˧˥
蹰	蹰	tsʰy:˨˩
廚	厨	tsʰy:˨˩/tsʰɵy˨˩
署	署	tsʰy:˩˧
